"experimento","opcion","n","ME","MAE","RMSE","correlacion","max_abs"
"horario","LST",6222,0.00478931624419587,0.194485748668684,0.244582697252057,0.995866973794712,0.595447540283203
"horario","UTC",6222,0.00370015901831023,0.198392023039339,0.245931987168404,0.995817823884092,0.599475860595703
"inicio_semana","dia_1_mas_0",6222,0.00478931624419587,0.194485748668684,0.244582697252057,0.995866973794712,0.595447540283203
"inicio_semana","dia_1_mas_1",6222,0.01377719945365,0.230244067887025,0.284549405554685,0.994267343937882,0.808774948120117
"inicio_semana","dia_1_mas_2",6222,0.0217242308346568,0.280332069464413,0.346296895804198,0.991325257975996,1.03407859802246
"alineacion","mejor_dx_+0.0125_dy_+0.0250",NA,0.00795672124545699,0.187308428870716,0.231966903600579,NA,NA
"calibracion_diagnostica","entregada = -0.502158 + 1.023398 * nasa",6222,-2.79643038947021e-14,0.194352694846022,0.237196279616167,0.995866973794712,0.580988502651383
