"","precipitacion_mm","altitud_m","temperatura_bilineal_c","radiacion_bilineal_mj_m2_dia"
"precipitacion_mm",1,-0.394044009933757,0.452589249123783,-0.222379929395331
"altitud_m",-0.394044009933757,1,-0.658652329390425,0.139319041126099
"temperatura_bilineal_c",0.452589249123783,-0.658652329390425,1,-0.106793471382064
"radiacion_bilineal_mj_m2_dia",-0.222379929395331,0.139319041126099,-0.106793471382064,1
