"anio","semana","estado","modelo_medio_ganador","transformacion_ganadora","formula","vif_max","MAE","RMSE","R2","moran_I","moran_p","familia","nugget","psill","range_km","tipo_kriging","MAE_mcg_kriging","RMSE_mcg_kriging","R2_predictivo_mcg_kriging","cobertura95_escala"
2011,1,"FINAL_KRIGING","MTRA","original",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.92360116804866,29.3471958458573,44.9287083934434,0.789541945200138,0.719006064641226,0.005,"exponencial",376.876934831368,2300.62912731765,74.7952306310554,"universal",14.1040329316856,23.5370844357534,0.942240554508428,0.925655976676385
2011,2,"FINAL_KRIGING","Mxy_RA","original",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",8.16660942408533,20.3861764666203,25.9397481913377,0.37827359301208,0.746156558455247,0.005,"esferico",115.069317384014,646.097717591125,73.254833543259,"universal",9.0836584060632,12.6465683847353,0.852220839335121,0.957725947521866
2011,3,"FINAL_KRIGING","Mxy_alt","raiz",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,20.5202894529689,31.036109491288,0.796494320977027,0.830961436254078,0.005,"esferico",0.12094388168082,5.43317633504336,67.9192039800529,"universal",7.0375159915393,11.422831349901,0.972432999631559,0.941690962099125
2011,4,"FINAL_KRIGING","Mxy_alt","original",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,13.4408916947869,20.6357852896043,0.12096405765823,0.852624016622416,0.005,"esferico",61.908089239273,367.783526461903,101.341944833313,"universal",3.36807971938325,7.09622771164854,0.896051142976196,0.966472303206997
2011,5,"FINAL_KRIGING","MTRA","original",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.85515109783337,29.5332090050043,42.0917265409979,0.668142562668537,0.913645640573853,0.005,"gaussiano",117.949544590667,1731.7164923818,38.7535157382794,"universal",8.48678848032608,11.6347985439712,0.974644287986192,0.932944606413994
2011,6,"FINAL_KRIGING","Mxy_RA","original",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.88801752691661,17.9488526094151,22.5157015398999,0.375354978503307,0.730563957820032,0.005,"esferico",85.9785516659877,451.218589381503,59.0685002594778,"universal",8.06079918470577,11.1947560560339,0.845584253509526,0.947521865889213
2011,7,"FINAL_KRIGING","Mxy_RA","raiz",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.6671629364203,20.4185857663166,24.8178401795111,0.677087725077661,0.72295637883538,0.005,"esferico",0.183695123264079,2.72574066961011,42.5087817340922,"universal",8.5486837354319,11.5366880344698,0.930221940908645,0.946064139941691
2011,8,"FINAL_KRIGING","Mxy_RA","original",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",8.08008369516855,18.3506420881699,23.6821292334607,0.292865359811271,0.851531477975617,0.005,"esferico",17.434303137213,581.221981623918,64.4679816884598,"universal",5.39317982984965,7.22398553693368,0.934201748258198,0.979591836734694
2011,9,"FINAL_KRIGING","Mxy_RA","raiz",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",8.28641283569344,17.5071467622177,22.2764332510595,0.358171822558725,0.801221990747913,0.005,"esferico",0.0811598387356141,2.16759227551421,54.3408104202052,"universal",5.74916373434437,8.03743037478691,0.916447025494689,0.967930029154519
2011,10,"FINAL_KRIGING","MR","original",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,14.168209582086,18.1566597430835,0.26603729810065,0.734674956351473,0.005,"esferico",38.4948675959264,305.141732728524,52.1023304956397,"universal",5.35668571435746,8.76883124123124,0.828807196184557,0.93731778425656
