"anio","semana","escala","modelo","formula","vif_max","colineal","n","MAE","RMSE","sesgo","R2","estado_candidato"
2014,38,"log1p","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,16.5712402511765,22.4224127558602,-6.0201126287007,0.169578309662259,"VALIDO"
2014,38,"original","M0",".respuesta ~ 1",NA,FALSE,686,18.7062454261544,24.6414661769107,-1.04689550274631e-15,-0.00292183920294087,"VALIDO"
2014,38,"raiz","M0",".respuesta ~ 1",NA,FALSE,686,18.1422391459574,24.86715467352,-3.35276307507826,-0.021377272692072,"VALIDO"
2014,38,"log1p","M0",".respuesta ~ 1",NA,FALSE,686,18.0558188222972,25.6012076294739,-6.95178032753999,-0.0825672937286022,"VALIDO"
2014,38,"raiz","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",42.5892744867234,TRUE,686,9.9858068575968,13.1956574216299,-1.44835297282465,0.712395244518376,"EXCLUIDO: VIF > 10"
2014,38,"raiz","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",69.7008989928761,TRUE,686,10.050603890385,13.267263812395,-1.41809598582214,0.709265394211172,"EXCLUIDO: VIF > 10"
2014,38,"log1p","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",42.5892744867234,TRUE,686,10.2310397160334,13.4679296322923,-3.48070363111263,0.700404231051491,"EXCLUIDO: VIF > 10"
2014,38,"original","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",69.7008989928761,TRUE,686,10.4910413167718,13.8015550446782,-0.0215849161176464,0.685377308325553,"EXCLUIDO: VIF > 10"
2014,38,"log1p","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",69.7008989928761,TRUE,686,10.3152041685828,13.8500447584985,-3.3330984870333,0.683162664538888,"EXCLUIDO: VIF > 10"
2014,38,"original","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",42.5892744867234,TRUE,686,10.4272034814134,13.8746542697178,-0.0158290787580687,0.682035716669405,"EXCLUIDO: VIF > 10"
2014,38,"raiz","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",55.3965067311358,TRUE,686,12.8428687717753,17.0971148555961,-1.90473039048463,0.517186219828623,"EXCLUIDO: VIF > 10"
2014,38,"original","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",55.3965067311358,TRUE,686,13.3853679191632,17.2825102279343,-0.0310861761942339,0.506658507134776,"EXCLUIDO: VIF > 10"
2014,38,"raiz","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",36.4350378775281,TRUE,686,13.4900854175511,17.4434155737163,-2.05644401642901,0.49742942939005,"EXCLUIDO: VIF > 10"
2014,38,"original","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",36.4350378775281,TRUE,686,14.040580878582,17.8429056975606,-0.026871626470872,0.474146027759825,"EXCLUIDO: VIF > 10"
2014,38,"log1p","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",55.3965067311358,TRUE,686,13.2142630646494,18.1205945472114,-4.27439218248977,0.457650948985495,"EXCLUIDO: VIF > 10"
2014,38,"log1p","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",36.4350378775281,TRUE,686,13.7654760692158,18.2578703290471,-4.80441767787779,0.449402499998438,"EXCLUIDO: VIF > 10"
