"dist","gamma","np"
9.79042492439694,0.550689845163301,5995
22.668619021385,1.07592028378604,17394
36.80802013283,1.3823427978493,22071
51.1819343972821,1.47556141078321,27281
65.9480619571752,1.38070655211972,27618
80.2315794397742,1.21381132521947,25875
94.3935644331161,1.01132920622208,23589
108.653647969252,0.877924333236442,21347
123.406722330945,0.789780267980428,19147
138.147195490652,0.839026723536647,15213
152.385819910206,0.922435497166399,11388
166.991607550953,0.849348595153864,8305
181.810829313713,0.623040251901142,4533
195.779907326058,0.498556920981707,2792
210.080359908264,0.396004834863409,1601
