"id_celda","semana","celda_raster","x","y","altitud_m","anio","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia","clim_precipitacion_mm","clim_temperatura_bilineal_c","clim_radiacion_bilineal_mj_m2_dia"
1,1,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,19.3961524963379,22.3685722351074,20.4753723144531,16.4028568267822,18.322301864624,45.6016323566437,19.8855127096176,15.4961982965469
1,2,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,0,22.997142791748,21.3057613372803,13.7985715866089,16.3514842987061,29.711416721344,19.9382344484329,15.1229518055916
1,3,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,0,23.5214290618896,21.7700443267822,15.1514282226562,16.804370880127,18.8031306266785,20.2528569698334,15.2749602198601
1,4,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,21.2504825592041,21.8371429443359,20.3744640350342,10.8814287185669,12.4418201446533,29.3617245554924,20.1895332336426,15.0005701184273
1,5,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,32.7412986755371,23.747142791748,22.0972061157227,14.6314287185669,16.7836856842041,19.2476449608803,20.5079395771027,15.0909743309021
1,6,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,25.002161026001,21.9271430969238,20.618091583252,11.8957147598267,13.4409980773926,34.3958901166916,20.2421184778214,14.3032941222191
1,7,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,13.7958288192749,22.5300006866455,21.1059093475342,13.8699998855591,15.238377571106,29.3135819733143,20.3472081422806,15.0956937670708
1,8,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,7.97791862487793,22.3228569030762,20.9356307983398,14.0314283370972,14.4334888458252,44.0292512178421,20.158071398735,15.0571259856224
1,9,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,51.3901176452637,22.081428527832,20.6925048828125,15.0485715866089,15.767071723938,32.6153460741043,20.0702034235001,14.9074032902718
1,10,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,33.3563842773438,23.0314292907715,21.5360813140869,14.7128572463989,15.6228561401367,38.4069938361645,20.2576022148132,14.8122250437737
1,11,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,39.0196533203125,21.9114284515381,20.6251850128174,14.8400001525879,15.3994741439819,52.1801781654358,20.1087149381638,14.6920722126961
1,12,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,55.1404914855957,23.0685710906982,21.5242462158203,17.167142868042,18.5000019073486,47.3240595459938,20.1952403783798,15.3942396640778
1,13,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,7.66476678848267,22.4742851257324,21.0084953308105,14.2842855453491,14.564923286438,42.8455221951008,20.3510047197342,14.7637159824371
1,14,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,71.793586730957,21.9357147216797,20.562520980835,14.2957143783569,14.3985404968262,60.4381417632103,20.3063060045242,15.1753107905388
1,15,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,80.5982666015625,21.5785713195801,20.127254486084,13.9614286422729,15.1153516769409,62.4478907585144,20.3778116703033,15.2418571710587
1,16,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,19.2945175170898,22.6414279937744,21.0835742950439,17.502857208252,17.8962821960449,67.3373994827271,20.0893360376358,15.2092761397362
1,17,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,48.4965057373047,22.2099990844727,20.7809677124023,14.0100002288818,14.6254119873047,46.4867705106735,20.2868798971176,15.4730315208435
1,18,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,106.143615722656,20.8700008392334,19.5346641540527,16.7714290618896,16.0856761932373,64.120792388916,20.2704430818558,15.7383885979652
1,19,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,74.8054351806641,23.08571434021,21.4005298614502,16.8114280700684,17.5434608459473,52.3638003468513,20.4845542907715,15.498810172081
1,20,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,77.3227386474609,22.6299991607666,21.1533432006836,15.4099998474121,16.8074703216553,61.7264062166214,20.3855907917023,15.6353744864464
1,21,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,76.0764389038086,21.0699996948242,19.6775074005127,13.5514287948608,13.8452939987183,52.1347076892853,20.472295165062,15.6325343847275
1,22,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,20.3814888000488,21.2371425628662,19.9053497314453,14.9385709762573,15.8058195114136,51.0238163471222,20.2558267116547,15.3847026824951
1,23,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,75.4587173461914,21.83571434021,20.085506439209,14.9414281845093,15.96901512146,43.4775471687317,20.2660709619522,15.4483272433281
1,24,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,55.4216117858887,21.4114284515381,19.883903503418,15.667142868042,16.3095207214355,46.5444331169128,20.2009725570679,15.8851457834244
1,25,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,72.5296859741211,21.1785717010498,19.6587810516357,14.2885713577271,15.2349033355713,42.0921430587769,20.2546433210373,16.1289049386978
1,26,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,63.142692565918,21.3985710144043,19.9025096893311,14.7314281463623,15.1154184341431,45.9009152650833,20.1810915470123,15.9634855389595
1,27,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,52.8625526428223,20.4542865753174,19.0610103607178,15.1114282608032,15.0646238327026,39.9349805414677,20.2088931798935,16.25379383564
1,28,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,94.8517150878906,20.5942859649658,19.1674289703369,14.747142791748,15.1134443283081,30.7556793391705,20.2057747840881,16.3663103580475
1,29,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,72.751350402832,21.081428527832,19.5868148803711,15.5057144165039,16.0256767272949,30.0625002086163,20.3982560634613,16.5786144733429
1,30,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,22.8162612915039,21.3985710144043,19.7647190093994,14.9814281463623,15.9049367904663,35.9676353931427,20.3400897979736,16.2981750965118
1,31,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,90.4140853881836,20.7985706329346,19.2642688751221,15.6342859268188,15.7672815322876,42.6264445781708,20.3335649967194,16.6810331940651
1,32,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,55.4914207458496,21.248571395874,19.647705078125,14.6728572845459,15.4720544815063,28.7104142904282,20.2970482110977,16.6106044650078
1,33,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,31.3717803955078,20.7957134246826,19.3002071380615,16.0742855072021,16.3162097930908,28.6547525823116,20.1569555997849,16.3577809929848
1,34,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,43.4575042724609,20.7285709381104,19.3797397613525,14.9771432876587,15.3993539810181,39.7575368285179,20.0731267929077,16.6163672208786
1,35,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,42.2292175292969,20.831428527832,19.3511238098145,15.4828567504883,15.6553907394409,36.5553165078163,20.2303355932236,17.3684469461441
1,36,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,84.7994613647461,20.7785720825195,19.2796611785889,15.1700000762939,15.8039484024048,34.2409336566925,20.1243885755539,16.9336822032928
1,37,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,36.7790908813477,21.0571422576904,19.4847946166992,15.7257146835327,16.6058654785156,30.2134095132351,20.1873437166214,16.9985661506653
1,38,30,-76.0749984513968,4.97499932907522,2018.1494140625,2010,25.4100914001465,20.3442859649658,18.8991413116455,14.4200000762939,14.6883735656738,34.0399713516235,20.042271733284,16.747719168663
