"id_celda","celda_raster","x","y","altitud_m","anio","semana","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia"
361,905,-76.7249984610826,3.77499931119382,987.20703125,2010,6,37.6837272644043,24.5085716247559,22.649808883667,13.210000038147,12.6543588638306
397,952,-76.224998453632,3.72499931044877,1356.76586914062,2016,48,17.591215133667,15.874285697937,16.730411529541,12.9614286422729,13.0151672363281
426,994,-75.9749984499067,3.67499930970371,3580.73046875,2018,11,0,16.6157150268555,18.1783332824707,21.752857208252,19.3331317901611
338,871,-76.5749984588474,3.82499931193888,1647.0146484375,2012,52,0,23.7057151794434,20.5285358428955,13.4757146835327,12.9972658157349
465,1058,-76.4749984573573,3.57499930821359,988.337341308594,2013,7,9.52686405181885,15.6485710144043,18.1680488586426,13.7799997329712,13.7600431442261
433,1014,-76.8249984625727,3.62499930895865,1008.32122802734,2010,44,107.248352050781,21.332857131958,21.1824989318848,13.3785715103149,12.7679224014282
123,539,-76.5249984581023,4.27499931864441,1492.77465820312,2012,6,0,20.4042854309082,20.98850440979,13.8599996566772,13.7096424102783
65,362,-76.1249984521419,4.5249993223697,1249.92761230469,2012,45,29.1395263671875,20.7685718536377,19.722728729248,14.9385709762573,15.5808410644531
312,833,-76.6249984595924,3.87499931268394,1621.7841796875,2018,32,18.3208541870117,24.8114280700684,21.8027667999268,18.0128574371338,17.7360763549805
126,542,-76.3749984558672,4.27499931864441,1886.16650390625,2023,9,8.90704345703125,22.0428562164307,21.460786819458,13.2857141494751,13.8959827423096
379,934,-77.124998467043,3.72499931044877,16.8224296569824,2014,2,122.808296203613,22.3057136535645,24.1638622283936,16.6914291381836,15.2895812988281
321,842,-76.1749984528869,3.87499931268394,1891.25732421875,2024,34,7.9709415435791,19.4757137298584,18.9403972625732,14.834285736084,15.4445924758911
444,1025,-76.2749984543771,3.62499930895865,1034.16809082031,2012,1,12.8868637084961,15.415714263916,16.1639404296875,13.4514284133911,13.9890403747559
590,1231,-77.074998466298,3.3249993044883,380.697998046875,2025,33,36.567195892334,22.4628562927246,23.1907978057861,14.7328567504883,14.6147537231445
320,841,-76.224998453632,3.87499931268394,1474.36791992188,2013,21,53.9305152893066,18.0957145690918,17.5066661834717,14.460000038147,15.145188331604
142,581,-76.2749984543771,4.22499931789935,1253.56604003906,2012,42,51.0348358154297,17.1385707855225,18.5469722747803,14.081428527832,13.7402362823486
682,1386,-76.7249984610826,3.12499930150807,1441.38708496094,2018,49,44.9454345703125,20.7771434783936,19.6212673187256,15.5185718536377,15.3914060592651
456,1049,-76.9249984640628,3.57499930821359,956.927490234375,2015,28,55.0724334716797,23.084285736084,23.5240879058838,14.1071424484253,13.9820003509521
53,323,-76.224998453632,4.57499932311476,1667.8642578125,2024,41,48.3559188842773,21.4071426391602,21.2074222564697,15.9700002670288,16.2984256744385
13,144,-75.9249984491616,4.82499932684005,918.29443359375,2022,36,16.9436645507812,16.1900005340576,18.6675109863281,16.9771423339844,17.3518695831299
179,656,-76.224998453632,4.12499931640923,941.107849121094,2017,9,52.9523849487305,17.7857151031494,18.4110050201416,14.6400003433228,15.1141309738159
387,942,-76.7249984610826,3.72499931044877,1316.92004394531,2024,52,10.7729387283325,21.7785720825195,21.0892066955566,12.418571472168,12.2155504226685
400,955,-76.0749984513968,3.72499931044877,2950.63208007812,2019,9,14.7880086898804,16.4914283752441,17.542839050293,15.9642858505249,15.421667098999
576,1208,-76.3749984558672,3.37499930523336,971.900207519531,2016,1,44.0331497192383,17.6557140350342,18.7296962738037,14.3900003433228,14.6798238754272
364,908,-76.5749984588474,3.77499931119382,1442.64538574219,2023,28,13.9566287994385,25.0285720825195,21.4138965606689,15.4685716629028,15.9673852920532
598,1239,-76.6749984603375,3.3249993044883,2755.703125,2019,21,114.192718505859,22.5614280700684,20.0758628845215,15.082857131958,15.2700977325439
120,514,-75.9249984491616,4.32499931938946,1363.33264160156,2021,13,35.5335426330566,15.6728572845459,18.3641262054443,16.1328563690186,14.846137046814
229,731,-76.1749984528869,4.02499931491912,1180.38696289062,2010,4,17.2496471405029,19.2885723114014,19.2326393127441,10.8814287185669,13.05739402771
207,697,-76.0249984506518,4.07499931566417,1671.49291992188,2020,29,3.9320056438446,18.3071422576904,17.6406517028809,16.9371433258057,17.5234279632568
59,329,-75.9249984491616,4.57499932311476,1171.45202636719,2011,3,22.6521511077881,15.3657140731812,17.7886390686035,18.4400005340576,16.6877346038818
71,394,-76.3749984558672,4.47499932162464,1291.14721679688,2017,47,76.0160293579102,19.9500007629395,20.5744018554688,14.5,14.6875734329224
406,974,-76.9749984648078,3.67499930970371,116.640823364258,2010,36,189.485427856445,22.0728569030762,22.9787445068359,14.4314289093018,14.9352140426636
305,826,-76.9749984648078,3.87499931268394,40.9708442687988,2017,13,144.413955688477,23.6257133483887,23.7565765380859,13.9700002670288,15.2730236053467
530,1152,-77.3249984700232,3.42499930597842,22.7166137695312,2015,41,119.873222351074,26.2285709381104,25.1057643890381,16.2800006866455,15.8324680328369
66,363,-76.0749984513968,4.5249993223697,936.696350097656,2015,50,61.1805076599121,22.0185718536377,20.0858535766602,15.2114286422729,16.2061176300049
316,837,-76.4249984566122,3.87499931268394,1391.37622070312,2017,47,47.1068077087402,17.5571422576904,18.6413993835449,14.252857208252,14.5055027008057
469,1062,-76.2749984543771,3.57499930821359,1036.51501464844,2015,10,20.2307071685791,17.2428569793701,17.8064956665039,15.874285697937,15.8643627166748
6,105,-76.0249984506518,4.8749993275851,1470.26306152344,2010,16,12.8356513977051,22.6414279937744,20.5481281280518,17.502857208252,17.9439792633057
664,1341,-77.124998467043,3.17499930225313,191.504211425781,2017,14,65.9115295410156,21.5485706329346,23.6953601837158,18.5400009155273,18.1875305175781
24,215,-76.0749984513968,4.72499932534993,1471.33935546875,2016,41,68.8960952758789,20.1814289093018,18.9476299285889,15.1442861557007,15.1585092544556
573,1205,-76.5249984581023,3.37499930523336,983.987060546875,2024,33,12.7199268341064,17.248571395874,19.8234539031982,17.5357151031494,17.2846622467041
118,512,-76.0249984506518,4.32499931938946,1018.87927246094,2011,45,13.2998304367065,19.8400001525879,17.730339050293,14.457142829895,14.9022312164307
661,1338,-77.2749984692782,3.17499930225313,83.2518539428711,2022,41,144.076644897461,24.6014289855957,23.5972690582275,11.5171432495117,12.6288194656372
452,1045,-77.124998467043,3.57499930821359,87.1513366699219,2014,25,35.8251152038574,23.4571437835693,24.990119934082,14.3999996185303,14.4993619918823
134,550,-75.9749984499067,4.27499931864441,1139.69897460938,2013,32,34.4399795532227,20.5157146453857,17.6444892883301,15.2700004577637,14.9959173202515
513,1126,-76.7749984618276,3.47499930672347,1725.45666503906,2024,19,57.1043472290039,23.4957141876221,22.4754695892334,13.8214282989502,13.8568439483643
143,582,-76.224998453632,4.22499931789935,971.425109863281,2010,10,19.6839332580566,20.6442852020264,21.7250537872314,14.7128572463989,15.4268884658813
135,551,-75.9249984491616,4.27499931864441,1527.74743652344,2024,6,42.3239898681641,16.7000007629395,19.4647026062012,15.4799995422363,15.2555122375488
276,789,-76.9749984648078,3.924999313429,44.151180267334,2015,24,41.7858390808105,25.0214290618896,25.2361431121826,15.8171424865723,16.3445911407471
682,1386,-76.7249984610826,3.12499930150807,1441.38708496094,2012,49,0,19.7371425628662,18.8217124938965,15.0114288330078,14.7540311813354
682,1386,-76.7249984610826,3.12499930150807,1441.38708496094,2015,19,31.9415531158447,22.6571426391602,21.3985252380371,15.747142791748,15.3901691436768
420,988,-76.2749984543771,3.67499930970371,1023.16107177734,2017,30,15.7784061431885,16.0628566741943,17.1855640411377,14.9385709762573,15.2336692810059
423,991,-76.1249984521419,3.67499930970371,2956.97436523438,2023,22,57.6054649353027,16.5171432495117,17.3789844512939,15.6085710525513,16.4729900360107
