"dist","gamma","np","modelo"
9.79042492439736,0.560329819859104,5995,"lineal_ambiental"
22.6686190213845,1.16613410344419,17394,"lineal_ambiental"
36.808020132829,1.64401896525482,22071,"lineal_ambiental"
51.1819343972821,1.85211369568537,27281,"lineal_ambiental"
65.9480619571758,1.85519305136139,27618,"lineal_ambiental"
80.2315794397735,1.76607225467319,25875,"lineal_ambiental"
94.3935644331158,1.4890988984428,23589,"lineal_ambiental"
108.653647969254,1.21793335663971,21347,"lineal_ambiental"
123.406722330946,0.983564262897771,19147,"lineal_ambiental"
138.147195490651,0.961545233857877,15213,"lineal_ambiental"
152.385819910205,1.02961844769999,11388,"lineal_ambiental"
166.991607550953,0.983788963734595,8305,"lineal_ambiental"
181.810829313713,0.797536283586507,4533,"lineal_ambiental"
195.779907326057,0.614282994830375,2792,"lineal_ambiental"
210.080359908264,0.464960356108016,1601,"lineal_ambiental"
9.79042492439736,0.550689845163301,5995,"cuadratica_ambiental"
22.6686190213845,1.07592028378604,17394,"cuadratica_ambiental"
36.808020132829,1.38234279784929,22071,"cuadratica_ambiental"
51.1819343972821,1.4755614107832,27281,"cuadratica_ambiental"
65.9480619571758,1.38070655211972,27618,"cuadratica_ambiental"
80.2315794397735,1.21381132521947,25875,"cuadratica_ambiental"
94.3935644331158,1.01132920622208,23589,"cuadratica_ambiental"
108.653647969254,0.877924333236441,21347,"cuadratica_ambiental"
123.406722330946,0.789780267980428,19147,"cuadratica_ambiental"
138.147195490651,0.839026723536647,15213,"cuadratica_ambiental"
152.385819910205,0.922435497166399,11388,"cuadratica_ambiental"
166.991607550953,0.849348595153863,8305,"cuadratica_ambiental"
181.810829313713,0.623040251901142,4533,"cuadratica_ambiental"
195.779907326057,0.498556920981707,2792,"cuadratica_ambiental"
210.080359908264,0.396004834863409,1601,"cuadratica_ambiental"
