"id_celda","x","y","residual"
1,-76.0749984513968,4.97499932907522,-0.836960803532744
2,-76.0749984513968,4.92499932833016,-0.93840967832135
3,-76.0249984506518,4.92499932833016,-0.875504303148005
4,-76.1249984521419,4.8749993275851,-0.33148053392036
5,-76.0749984513968,4.8749993275851,-0.717364137339569
6,-76.0249984506518,4.8749993275851,-1.14597793908928
7,-76.224998453632,4.82499932684005,0.630453647947924
8,-76.1749984528869,4.82499932684005,-0.371452533858165
9,-76.1249984521419,4.82499932684005,-0.443349694577965
10,-76.0749984513968,4.82499932684005,-0.871188846562837
11,-76.0249984506518,4.82499932684005,-1.17860566422932
12,-75.9749984499067,4.82499932684005,-1.0432770257219
13,-75.9249984491616,4.82499932684005,-0.857968305693166
14,-76.224998453632,4.77499932609499,0.47934697633092
15,-76.1749984528869,4.77499932609499,0.426594548192698
16,-76.1249984521419,4.77499932609499,-0.796507238881189
17,-76.0749984513968,4.77499932609499,-0.905881293064238
18,-76.0249984506518,4.77499932609499,-0.778003746606524
19,-75.9749984499067,4.77499932609499,-1.02416141342645
20,-76.2749984543771,4.72499932534993,0.891726835503438
21,-76.224998453632,4.72499932534993,0.63448687076715
22,-76.1749984528869,4.72499932534993,-0.858232092919839
23,-76.1249984521419,4.72499932534993,-1.62590953956909
24,-76.0749984513968,4.72499932534993,-0.417590738577534
25,-76.0249984506518,4.72499932534993,-0.69749005620306
26,-75.9749984499067,4.72499932534993,0.121247202319618
27,-75.9249984491616,4.72499932534993,-0.359449443284104
28,-75.8749984484166,4.72499932534993,0.0313051664496018
29,-75.8249984476715,4.72499932534993,0.376473540498525
30,-76.2749984543771,4.67499932460487,-0.0959282306370732
31,-76.224998453632,4.67499932460487,-0.82723914987657
32,-76.1749984528869,4.67499932460487,-0.866252230390538
33,-76.1249984521419,4.67499932460487,-1.1043625199894
34,-76.0749984513968,4.67499932460487,-1.22010990028453
35,-76.0249984506518,4.67499932460487,-0.746185154770249
36,-75.9749984499067,4.67499932460487,0.695739265367563
37,-75.9249984491616,4.67499932460487,-0.521509586297134
38,-75.8749984484166,4.67499932460487,-0.397687109480528
39,-75.8249984476715,4.67499932460487,0.0547438773959222
40,-75.7749984469265,4.67499932460487,-0.725244467077246
41,-75.7249984461814,4.67499932460487,0.569178502455819
42,-76.2749984543771,4.62499932385981,0.164741858722206
43,-76.224998453632,4.62499932385981,-0.0938456356775426
44,-76.1749984528869,4.62499932385981,-0.516893729346802
45,-76.1249984521419,4.62499932385981,-0.904423328262925
46,-76.0749984513968,4.62499932385981,-0.979968785905438
47,-76.0249984506518,4.62499932385981,-1.08627577939399
48,-75.9749984499067,4.62499932385981,-0.122336572788315
49,-75.9249984491616,4.62499932385981,0.160998349750054
50,-75.8749984484166,4.62499932385981,0.224637123296599
51,-76.3249984551221,4.57499932311476,0.195825640024153
52,-76.2749984543771,4.57499932311476,-0.400329488281521
53,-76.224998453632,4.57499932311476,-0.106773482092416
54,-76.1749984528869,4.57499932311476,-0.987464471300024
55,-76.1249984521419,4.57499932311476,-0.749669323300114
56,-76.0749984513968,4.57499932311476,-0.843059975120255
57,-76.0249984506518,4.57499932311476,-1.24624162259398
58,-75.9749984499067,4.57499932311476,-0.0819773661790493
59,-75.9249984491616,4.57499932311476,0.854155427990641
60,-75.8749984484166,4.57499932311476,0.475350396538711
61,-76.3249984551221,4.5249993223697,0.602762763994331
62,-76.2749984543771,4.5249993223697,0.236351029042429
63,-76.224998453632,4.5249993223697,-0.248947766755413
64,-76.1749984528869,4.5249993223697,-0.474749222057725
65,-76.1249984521419,4.5249993223697,-0.355368485212487
66,-76.0749984513968,4.5249993223697,-0.533157183531808
67,-76.0249984506518,4.5249993223697,-0.955094501021766
68,-75.9749984499067,4.5249993223697,0.169813577919598
69,-75.9249984491616,4.5249993223697,0.633247305685234
70,-75.8749984484166,4.5249993223697,0.177593554759371
71,-76.3749984558672,4.47499932162464,1.27664724560034
72,-76.3249984551221,4.47499932162464,1.26135344256469
73,-76.2749984543771,4.47499932162464,0.585228884139354
74,-76.224998453632,4.47499932162464,0.627104053983419
75,-76.1749984528869,4.47499932162464,0.450540261853518
76,-76.1249984521419,4.47499932162464,0.220212610844769
77,-76.0749984513968,4.47499932162464,-0.581478777940704
78,-76.0249984506518,4.47499932162464,0.262484597577551
79,-75.9749984499067,4.47499932162464,0.877387836154156
80,-75.9249984491616,4.47499932162464,0.82065540794906
81,-75.8749984484166,4.47499932162464,0.879119716451361
