"id_celda","x","y","precipitacion_mm","ajuste_tendencia","residual_tendencia"
1,-76.0749984513968,4.97499932907522,36.6411552429199,55.9377200163669,-19.296564773447
2,-76.0749984513968,4.92499932833016,35.1811752319336,54.7574223592714,-19.5762471273378
3,-76.0249984506518,4.92499932833016,39.3821258544922,52.6811236806086,-13.2989978261164
4,-76.1249984521419,4.8749993275851,40.123348236084,55.6534233808395,-15.5300751447555
5,-76.0749984513968,4.8749993275851,37.5581474304199,53.577124702176,-16.0189772717561
6,-76.0249984506518,4.8749993275851,35.3913536071777,51.5008260235125,-16.1094724163348
7,-76.224998453632,4.82499932684005,49.4644088745117,58.6257230810703,-9.16131420655858
8,-76.1749984528869,4.82499932684005,38.4299125671387,56.5494244024068,-18.1195118352682
9,-76.1249984521419,4.82499932684005,38.515552520752,54.4731257237434,-15.9575732029914
10,-76.0749984513968,4.82499932684005,36.1139640808105,52.3968270450799,-16.2828629642694
11,-76.0249984506518,4.82499932684005,34.8911514282227,50.3205283664165,-15.4293769381938
12,-75.9749984499067,4.82499932684005,39.1186370849609,48.244229687753,-9.12559260279209
13,-75.9249984491616,4.82499932684005,43.216625213623,46.1679310090896,-2.95130579546653
14,-76.224998453632,4.77499932609499,48.059196472168,57.4454254239743,-9.38622895180628
15,-76.1749984528869,4.77499932609499,49.6201362609863,55.3691267453108,-5.74899048432447
16,-76.1249984521419,4.77499932609499,34.6992492675781,53.2928280666473,-18.5935787990692
17,-76.0749984513968,4.77499932609499,35.4868011474609,51.2165293879839,-15.7297282405229
18,-76.0249984506518,4.77499932609499,39.7876129150391,49.1402307093204,-9.35261779428137
19,-75.9749984499067,4.77499932609499,38.9098358154297,47.063932030657,-8.15409621522729
20,-76.2749984543771,4.72499932534993,51.0581893920898,58.3414264455417,-7.28323705345182
21,-76.224998453632,4.72499932534993,51.1941947937012,56.2651277668782,-5.07093297317703
22,-76.1749984528869,4.72499932534993,33.7123260498047,54.1888290882147,-20.4765030384101
23,-76.1249984521419,4.72499932534993,25.6690845489502,52.1125304095513,-26.4434458606011
24,-76.0749984513968,4.72499932534993,41.1002426147461,50.0362317308878,-8.93598911614174
25,-76.0249984506518,4.72499932534993,40.4412689208984,47.9599330522244,-7.51866413132594
26,-75.9749984499067,4.72499932534993,53.5390205383301,45.8836343735609,7.65538616476915
27,-75.9249984491616,4.72499932534993,47.6831245422363,43.8073356948975,3.87578884733885
28,-75.8749984484166,4.72499932534993,53.646614074707,41.7310370162346,11.9155770584724
29,-75.8249984476715,4.72499932534993,59.5572662353516,39.6547383375711,19.9025278977804
30,-76.2749984543771,4.67499932460487,38.2534103393555,57.1611287884456,-18.9077184490901
31,-76.224998453632,4.67499932460487,32.6792984008789,55.0848301097822,-22.4055317089032
32,-76.1749984528869,4.67499932460487,33.6406478881836,53.0085314311187,-19.3678835429351
33,-76.1249984521419,4.67499932460487,30.5341510772705,50.9322327524552,-20.3980816751847
34,-76.0749984513968,4.67499932460487,31.6925830841064,48.8559340737918,-17.1633509896853
35,-76.0249984506518,4.67499932460487,39.6946487426758,46.7796353951283,-7.08498665245255
36,-75.9749984499067,4.67499932460487,61.1983070373535,44.7033367164649,16.4949703208886
37,-75.9249984491616,4.67499932460487,44.1488189697266,42.6270380378014,1.52178093192514
38,-75.8749984484166,4.67499932460487,45.731876373291,40.5507393591386,5.18113701415246
39,-75.8249984476715,4.67499932460487,53.245044708252,38.4744406804751,14.7706040277769
40,-75.7749984469265,4.67499932460487,42.7127494812012,36.3981420018116,6.31460747938953
41,-75.7249984461814,4.67499932460487,61.2600402832031,34.3218433231482,26.9381969600549
42,-76.2749984543771,4.62499932385981,42.9301147460938,55.9808311313496,-13.0507163852558
43,-76.224998453632,4.62499932385981,42.0722503662109,53.9045324526861,-11.8322820864752
44,-76.1749984528869,4.62499932385981,36.5986061096191,51.8282337740226,-15.2296276644035
45,-76.1249984521419,4.62499932385981,32.9421081542969,49.7519350953592,-16.8098269410623
46,-76.0749984513968,4.62499932385981,34.7756729125977,47.6756364166957,-12.8999635040981
47,-76.0249984506518,4.62499932385981,34.9085235595703,45.5993377380323,-10.690814178462
