"respuesta","r2","r2_ajustado","AIC","coef_x_km","coef_y_km","p_x","p_y"
"original",0.41994410138716,0.418245548243345,5975.64431665629,-0.373874727414287,0.212054911877155,1.45657856728476e-82,7.13600105566661e-33
"raiz",0.313217636598138,0.311206560863433,2526.94135421516,-0.0238428831012123,0.0150754390999204,8.38947323458822e-57,2.82842715030416e-26
"log1p",0.170804478954584,0.168376380796325,1244.93458107997,-0.00614097298997252,0.00454842357415912,6.32213815269884e-28,1.22951891183759e-16
