"categoria","variable","n","media","mediana","sd","minimo","maximo","p25","p75"
"seca","precipitacion_mm",686,17.2766721352891,8.76188278198242,20.623163973584,1.17921161651611,103.468002319336,4.86795210838318,20.3143844604492
"seca","temperatura_bilineal_c",686,20.7338736147644,20.4108581542969,3.08028456505877,15.4339113235474,26.902458190918,17.9727416038513,23.4319400787354
"seca","radiacion_bilineal_mj_m2_dia",686,17.0798705103794,17.0594100952148,0.366418033805843,16.2859706878662,18.1345729827881,16.812162399292,17.3555583953857
"seca","altitud_m",686,1231.57745897909,1138.9423828125,887.67683340617,-2.9171736240387,3856.46630859375,669.48176574707,1671.02029418945
"intermedia","precipitacion_mm",686,48.0642323771997,42.4115829467773,24.6234993745387,0,147.467071533203,32.9811458587646,58.1620464324951
"intermedia","temperatura_bilineal_c",686,20.2604110942985,19.7525291442871,2.65930553930686,15.9079895019531,26.1449279785156,17.8876962661743,22.4163885116577
"intermedia","radiacion_bilineal_mj_m2_dia",686,16.6135781082398,16.6047964096069,0.375246849699029,15.7554588317871,17.5643711090088,16.3574681282043,16.881603717804
"intermedia","altitud_m",686,1231.57745897909,1138.9423828125,887.67683340617,-2.9171736240387,3856.46630859375,669.48176574707,1671.02029418945
"humeda","precipitacion_mm",686,87.4250497400934,79.7541618347168,32.9373252008741,25.0143089294434,217.016830444336,63.3099336624146,105.865947723389
"humeda","temperatura_bilineal_c",686,19.9908976137812,19.4415082931519,2.72162460642065,15.5829801559448,26.0357303619385,17.57439661026,22.2208495140076
"humeda","radiacion_bilineal_mj_m2_dia",686,12.6001418700371,13.0672559738159,0.994242698956501,9.60237216949463,13.961971282959,11.8868234157562,13.3562774658203
"humeda","altitud_m",686,1231.57745897909,1138.9423828125,887.67683340617,-2.9171736240387,3856.46630859375,669.48176574707,1671.02029418945
