"anio","semana","termino","beta_mco","se_mco","beta_mcg","se_mcg"
2011,1,"(Intercept)",-1328.82239098816,63.4158756505136,-831.162385164218,287.531046185195
2011,1,"temperatura_bilineal_c",27.1139740317272,0.885931961719313,24.1900534370397,4.62815177353119
2011,1,"radiacion_bilineal_mj_m2_dia",61.4931503244999,3.92121400198917,32.6693807496293,16.760274599031
2011,1,"altitud_m",-0.0289993463480791,0.00267199048323028,-0.0142755277170098,0.00430565526038075
2012,1,"(Intercept)",-68.6210855230216,3.60605647167277,-25.4616541819798,15.9656724684041
2012,1,"x_km",-0.097812517817359,0.00295287681200646,-0.0847386970795088,0.0120038493716472
2012,1,"y_km",0.0661716373276543,0.00285276385632592,0.0349543007494455,0.0140065034605311
2012,1,"radiacion_bilineal_mj_m2_dia",5.60111900905803,0.262918116330585,2.46612833640263,1.15551789182408
2012,1,"altitud_m",-0.000293459827171123,0.00013317929509535,0.000199226354032471,0.00022029218138131
2013,1,"(Intercept)",2.62421611826373,0.173424392288919,2.94213300195588,0.588434620543611
2013,1,"x_km",-0.0570476164792241,0.00264325118714563,-0.0550769899521464,0.00955937802289906
2013,1,"y_km",0.0234167631226833,0.00195552836689494,0.0262811508942079,0.00907542752857959
2013,1,"altitud_m",-0.000148541742956456,0.000127074715982895,-1.40265103694093e-05,0.000190915717811499
2014,1,"(Intercept)",9.25208453325776,0.510779131981157,16.7211421325115,3.8208734501966
2014,1,"x_km",-0.227300879177569,0.0120021256217453,-0.267834160764299,0.0628280913206746
2014,1,"y_km",0.000145538781665464,0.0119895622923139,-0.0240685561058119,0.0632518949279235
2015,1,"(Intercept)",1.72801265494125,0.139042915589599,4.33148344495228,1.54272712879148
2015,1,"x_km",-0.0739082603633785,0.00326718621656936,-0.0987740250659071,0.0219122804910177
2015,1,"y_km",0.0375123749674506,0.00326376626096765,0.0300296463959701,0.0220900790730655
2016,1,"(Intercept)",-41.7573137302853,2.49393711003787,-19.5694732249015,13.4861026285476
2016,1,"temperatura_bilineal_c",0.687110401080692,0.0270642216510505,0.406893842389681,0.159690808065215
2016,1,"radiacion_bilineal_mj_m2_dia",2.36108718529241,0.147571542131202,1.31857276165456,0.756286938602079
2016,1,"altitud_m",0.000161117156887753,7.35570044392304e-05,-5.66981722103875e-05,0.000127122923273736
2017,1,"(Intercept)",66.9368352102495,2.78401767279003,72.9530457971395,10.1492238399521
2017,1,"x_km",-0.420137088540658,0.04243265852924,-0.358002231931778,0.161709302882766
2017,1,"y_km",-0.0273880426810869,0.0313925017191807,-0.0761535499005689,0.153011972137379
2017,1,"altitud_m",0.00363368346294184,0.0020399567234566,0.00630066027261515,0.00329580692691571
2018,1,"(Intercept)",-731.81669812342,102.421136235169,-85.911389378354,484.784421314894
2018,1,"x_km",-0.593706402647499,0.0403790363615878,-0.347448385501108,0.179575321589051
2018,1,"y_km",-0.0353252000873126,0.0305671570101865,0.0204066489704557,0.176141301696982
2018,1,"radiacion_bilineal_mj_m2_dia",50.7482694931319,6.5668705596396,9.4111479862779,30.8437850721042
2018,1,"altitud_m",-0.00416568587443998,0.00194182824803588,-0.00350872379124133,0.00257001973672759
2019,1,"(Intercept)",-36.3170174646715,2.34921996383894,-22.8437376478723,9.4690839018315
2019,1,"temperatura_bilineal_c",0.76749226203905,0.0265797365283763,0.600729849303412,0.11002242050903
2019,1,"radiacion_bilineal_mj_m2_dia",1.66325449915757,0.112310026823923,1.07204471327158,0.437794636748414
2019,1,"altitud_m",-0.000226746415207689,6.51614522466654e-05,-7.79672964654299e-05,0.000112795608370016
2020,1,"(Intercept)",4.74035621651725,0.146085831874781,4.46913473208913,0.362643763353565
2020,1,"x_km",-0.0131412468053897,0.00222656999647936,-0.0120473332921169,0.00593778731884271
2020,1,"y_km",-0.00955938829094087,0.00164725956056203,-0.0134701050306271,0.00511455494146465
2020,1,"altitud_m",-0.00125710227611039,0.000107042702295801,-0.000766986553844365,0.000203758460846616
2021,1,"(Intercept)",-5.14034148001335,1.94147285783648,-3.20275104744839,7.24181435273442
2021,1,"x_km",-0.0146339933926261,0.00123428559879038,-0.0133384651470022,0.00416457532260114
2021,1,"y_km",0.0129163024440482,0.000810753131421041,0.00873249912270408,0.00320166471399314
2021,1,"radiacion_bilineal_mj_m2_dia",0.637468418572465,0.137644298502505,0.495865197619807,0.51434257486502
2021,1,"altitud_m",-0.000123628638266111,5.23384747335822e-05,1.93515115344971e-05,9.69506851456621e-05
2022,1,"(Intercept)",-49.7392682960492,3.10605708151991,-38.8244258814302,11.066870450426
