"anio","semana","escala","modelo","formula","vif_max","colineal","n","MAE","RMSE","sesgo","R2"
2011,1,"raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.33506656148342,FALSE,686,32.0382145530178,57.9859645983648,-6.04028112619397,0.649439114904339
2011,1,"raiz","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",75.2249352877544,TRUE,686,28.8977160822977,47.3570379551465,-4.67894695804857,0.766177259660592
2011,1,"log1p","M0",".respuesta ~ 1",NA,FALSE,686,68.4675843527358,111.769320873184,-53.7423183238896,-0.302455544352223
2011,1,"log1p","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,78.856246198456,237.287451821993,23.0637902398856,-4.87039371897341
2011,1,"log1p","Malt",".respuesta ~ altitud_m",1,FALSE,686,43.2519252039088,67.9534281535297,-30.5030528387487,0.518561932738673
2011,1,"log1p","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,47.0019131624221,109.010434858334,8.58878753351133,-0.238950139240989
2011,1,"log1p","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,69.9178343596893,113.657423574819,-44.2545350813691,-0.346831604076852
2011,1,"log1p","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",1.07892251651491,FALSE,686,51.2343548531041,111.608163698157,1.42531236687193,-0.298702300977959
2011,1,"log1p","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.86950094220962,FALSE,686,48.2911831651489,108.04972774255,12.0878425505929,-0.217208673672067
2011,1,"log1p","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.1007462100225,FALSE,686,48.7003331705169,83.0893935210613,-32.4863351190808,0.280204938512213
2011,1,"log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.92360116804866,FALSE,686,49.8207715750369,109.256002700186,3.17108290986315,-0.244538393248676
2011,1,"log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,74.868969454848,219.031581212557,20.9514797219062,-4.00185573336293
