"familia","metodo","nugget","psill","range_km","SSE"
"exponencial","MCO",376.876934831368,2300.62912731765,74.7952306310554,99023.8661414027
"exponencial","MCP",391.498699826861,2337.04855789898,78.4164900912148,1755733297.08273
"esferico","MCO",487.922154364552,1724.62770152637,124.269256994019,99037.9246426488
"esferico","MCP",535.964395358347,1697.10420018826,129.559413172865,1637468716.23918
"gaussiano","MCO",726.489330962215,1506.41063076915,61.9772262894686,135177.021856011
"gaussiano","MCP",823.035115425446,1442.87173226404,66.6341301588421,1893419836.26927
"exponencial","MCO",0,4.53410067614215,29.0610176481588,0.366084456255452
"exponencial","MCP",0,4.4715268334817,27.3132184653288,5339.14319141729
"esferico","MCO",0.13064442286403,4.13752602516343,60.907555190053,0.580460362122894
"esferico","MCP",0.287182950332959,3.94271806154991,61.619949856766,9353.7982659615
"gaussiano","MCO",0.737877810307472,3.53527271127142,29.8208354387232,0.551855809182872
"gaussiano","MCP",0.951073110959684,3.29468656362227,31.0290072191133,8493.06831556891
"exponencial","MCO",0,4.3139414423046,28.7285259220489,1.0232681306689
"exponencial","MCP",0,4.34631841300451,27.8856331119383,15550.0116214693
"esferico","MCO",0.129511310718935,4.02422476738883,68.3493614869032,0.442590241586656
"esferico","MCP",0.180088247539174,4.00936874971197,69.8812582374548,7006.35302471272
"gaussiano","MCO",0.698935016811704,3.4566550617373,33.1930404078506,0.478620781874663
"gaussiano","MCP",0.805113021530104,3.39126369393297,34.4207323434078,7492.54513015748
"exponencial","MCO",0,200.065926789418,35.1358809593617,655.658246702872
"exponencial","MCP",0,199.468136995734,33.8203729966877,7791812.75898172
"esferico","MCO",4.50448344594756,182.591975568663,76.0709083131269,336.458665870939
"esferico","MCP",16.1661198496067,171.657728892296,80.3154166351988,4945266.36425177
"gaussiano","MCO",28.1960923505423,158.421976962051,36.1069054187935,446.942709321992
"gaussiano","MCP",40.681452741939,147.031494298733,38.850062195396,5775428.94478812
"exponencial","MCO",0.0755965466458148,21.1717319321177,70.7113446613155,7.55884246977187
"exponencial","MCP",0,21.8388827742404,74.0374535727261,132047.835865368
"esferico","MCO",1.03398767005801,16.1990335080998,119.682561082714,3.47163446360535
"esferico","MCP",0.928856879909387,16.3769148032017,120.637235592056,62130.253881685
"gaussiano","MCO",3.35155631788047,14.1643660150933,60.6771141832866,5.39895129695375
"gaussiano","MCP",3.88701277053651,13.8759796742349,63.680274484164,73185.2893127121
"exponencial","MCO",0.108462577360776,1.98695341660713,47.7963769322427,0.0124968860165641
"exponencial","MCP",0.114393834827643,1.99544763174751,48.7568249985006,195.263987680442
"esferico","MCO",0.32231436573331,1.59294144357149,107.528856135062,0.0218032174081123
"esferico","MCP",0.401339808928251,1.52028496595397,111.680426474055,208.173516506917
"gaussiano","MCO",0.517434047731696,1.38666226199177,50.5688160485748,0.0528684458483281
"gaussiano","MCP",0.62959485467076,1.29216165833521,54.6319385495922,468.697811075746
"exponencial","MCO",0,1164.79367362386,28.77601253572,107208.192825
"exponencial","MCP",0,1182.68173202001,29.0230695929594,1695210242.63576
"esferico","MCO",114.78948987326,1015.73871111599,75.1225967828927,69892.5921367074
"esferico","MCP",123.429893073765,1020.21790575442,76.9009026565179,1076890774.23394
"gaussiano","MCO",254.062346458688,876.062920621762,36.2500705839716,74199.283714119
"gaussiano","MCP",281.093736983453,864.09556322563,37.7955317429996,1140358707.60647
"exponencial","MCO",0,1264.81312516588,57.3797698202179,12436.0447270568
"exponencial","MCP",0,1272.92819926471,57.6388914474542,221065863.032543
"esferico","MCO",47.4824485284627,1037.0456238617,106.357643632487,1584.49411163697
