"categoria","percentil","objetivo_mm","anio","semana","corte","media_regional_mm","diferencia_objetivo_mm","sd_espacial_mm","minimo_mm","maximo_mm"
"seca",0.1,17.2777743835838,2020,29,"2020_banda_29",17.2766721352891,-0.00110224829470695,20.623163973584,1.17921161651611,103.468002319336
"intermedia",0.5,48.0086431829992,2014,38,"2014_banda_38",48.0642323771997,0.055589194200472,24.6234993745387,0,147.467071533203
"humeda",0.9,87.4135458989324,2019,46,"2019_banda_46",87.4250497400934,0.01150384116103,32.9373252008741,25.0143089294434,217.016830444336
