"semana","sesgo_medio","sd_espacial","n"
1,-0.547112527440806,0.234461537906674,122
2,0.00159172933609759,0.249647534523266,122
3,0.017951605749912,0.265589803032178,122
4,0.0175823618154057,0.263096865461533,122
5,0.00424661792692591,0.239849292559691,122
6,0.00581572485751793,0.235730086409247,122
7,0.0123161722402104,0.239718255453462,122
8,-0.0199708313238425,0.24571371451219,122
9,-0.0104958424802686,0.234731417824163,122
10,0.0085094795852411,0.215398575430633,122
11,0.0198762143244509,0.213482892237227,122
12,-0.00552702731773502,0.217235495209424,122
13,-0.00887073454309682,0.252455721111618,122
14,-0.00175462003614082,0.240654930021673,122
15,0.0138603585665343,0.235474565355378,122
16,-0.0047728741755251,0.227756479726759,122
17,-0.0049694405227411,0.246866675827993,122
18,-0.00483989715576172,0.237636214956788,122
19,0.0049240237376729,0.239761534486887,122
20,0.00709375787953861,0.245235600818005,122
21,0.00863117468161661,0.247937908630794,122
22,0.0195619864541976,0.259632161320741,122
23,0.0126181274163918,0.252856536926961,122
24,0.00951177565777888,0.24557702851021,122
25,0.00743629893318552,0.256895465170059,122
26,0.00738509756619813,0.255490191839628,122
27,0.0110066679657483,0.259279906453028,122
28,0.0195561549702629,0.273513315812086,122
29,0.0277517975353804,0.281031657652259,122
30,0.0204121949242764,0.255247802434447,122
31,0.0196951725443856,0.259457520143902,122
32,0.00856571510189869,0.252453499112023,122
33,0.0206317901611328,0.257459588600684,122
34,0.00539412263964043,0.234097815398754,122
35,0.0177790532346632,0.26379441759636,122
36,0.0082145128093782,0.247284744484334,122
37,0.00687735197974033,0.234939983311147,122
38,0.00777663559210105,0.225320265042187,122
39,-0.000336615765681032,0.241501057923416,122
40,-0.00271256243596311,0.244911712466691,122
41,-0.00293348656326044,0.254157183789716,122
42,0.00179883300280962,0.24389663452041,122
43,-0.0014405797739498,0.239619139650832,122
44,0.00247198636414575,0.237934624146288,122
45,-0.00835045048447906,0.236442084031498,122
46,-0.022590160369873,0.245114063232687,122
47,-0.0101727735800821,0.247202297168408,122
48,0.0047226577508645,0.24510016318461,122
49,-0.01522367508685,0.23362070434749,122
50,0.00241315560262711,0.2365255388397,122
51,0.0133363379806769,0.241618672421945,122
52,-0.00809994681936796,0.235443023341522,122
