"vecinos","variable","moran_I","esperanza_I","p_valor","n_celdas"
4,"residual_ganador",0.773517684854297,-0.00145985401459854,1.85957000163535e-190,686
4,"precipitacion_mm",0.931063567349414,-0.00145985401459854,1.03829459029911e-271,686
8,"residual_ganador",0.719110364417548,-0.00145985401459854,0,686
8,"precipitacion_mm",0.912538386948948,-0.00145985401459854,0,686
