"dist","gamma","np"
9.79042492439694,0.560329819859104,5995
22.668619021385,1.16613410344419,17394
36.80802013283,1.64401896525483,22071
51.1819343972821,1.85211369568537,27281
65.9480619571752,1.85519305136139,27618
80.2315794397742,1.76607225467319,25875
94.3935644331161,1.4890988984428,23589
108.653647969252,1.21793335663971,21347
123.406722330945,0.98356426289777,19147
138.147195490652,0.961545233857877,15213
152.385819910206,1.02961844769999,11388
166.991607550953,0.983788963734595,8305
181.810829313713,0.797536283586506,4533
195.779907326058,0.614282994830374,2792
210.080359908264,0.464960356108016,1601
