"modelo","nugget","psill","range_km","SSErr"
"esferico",0.0154708374294793,1.66256017693006,44.3102779006911,2.65596971272449
"exponencial",0,1.76616339728762,21.2499864064381,4.63082636876726
"gaussiano",0.345626979638196,1.33839618209291,18.1940333259035,5.4303739908082
