"id","celda","lon","lat","semana","temperatura_entregada","temperatura_nasa","radiacion_entregada","radiacion_nasa"
"punto_01",1260,-77.475,3.275,1,26.1971645355225,27.0357142857143,16.4833335876465,17.4857142857143
"punto_01",1260,-77.475,3.275,2,26.6661415100098,27.0685714285714,15.8014287948608,15.8014285714286
"punto_01",1260,-77.475,3.275,3,27.3444271087646,27.7314285714286,14.7114286422729,14.7114285714286
"punto_01",1260,-77.475,3.275,4,27.5797843933105,27.8928571428571,16.8385715484619,16.8385714285714
"punto_01",1260,-77.475,3.275,5,26.7964267730713,27.2914285714286,15.6442861557007,15.6442857142857
"punto_01",1260,-77.475,3.275,6,26.7021408081055,27.1971428571429,14.875714302063,14.8757142857143
"punto_01",1260,-77.475,3.275,7,27.1642837524414,27.5628571428571,18.8057136535645,18.8057142857143
"punto_01",1260,-77.475,3.275,8,26.6138553619385,27.15,17.1900005340576,17.19
"punto_01",1260,-77.475,3.275,9,26.2519989013672,26.7328571428571,15.9514284133911,15.9514285714286
"punto_01",1260,-77.475,3.275,10,26.3922843933105,26.7085714285714,18.3157138824463,18.3157142857143
"punto_01",1260,-77.475,3.275,11,26.7405700683594,26.99,17.668571472168,17.6685714285714
"punto_01",1260,-77.475,3.275,12,26.3084278106689,26.6542857142857,17.1742858886719,17.1742857142857
"punto_01",1260,-77.475,3.275,13,26.6421413421631,27.0342857142857,16.0928573608398,16.0928571428571
"punto_01",1260,-77.475,3.275,14,26.3958549499512,26.86,17.4385719299316,17.4385714285714
"punto_01",1260,-77.475,3.275,15,26.993070602417,27.2842857142857,17.3485717773438,17.3485714285714
"punto_01",1260,-77.475,3.275,16,26.3689270019531,26.7642857142857,13.791428565979,13.7914285714286
"punto_01",1260,-77.475,3.275,17,26.4922122955322,26.9814285714286,15.9799995422363,15.98
"punto_01",1260,-77.475,3.275,18,26.552640914917,27.0328571428571,17.0771427154541,17.0771428571429
"punto_01",1260,-77.475,3.275,19,26.6524982452393,27.08,13.9014282226562,13.9014285714286
"punto_01",1260,-77.475,3.275,20,26.7819271087646,27.2557142857143,14.9857139587402,14.9857142857143
"punto_01",1260,-77.475,3.275,21,27.0099277496338,27.4657142857143,13.2114286422729,13.2114285714286
"punto_01",1260,-77.475,3.275,22,27.09228515625,27.4471428571429,16.5214290618896,16.5214285714286
"punto_01",1260,-77.475,3.275,23,26.2836418151855,26.7728571428571,14.1128568649292,14.1128571428571
"punto_01",1260,-77.475,3.275,24,26.0164260864258,26.5114285714286,14.2871427536011,14.2871428571429
"punto_01",1260,-77.475,3.275,25,26.0866413116455,26.5771428571429,14.3942861557007,14.3942857142857
"punto_01",1260,-77.475,3.275,26,26.0279979705811,26.4728571428571,13.8557138442993,13.8557142857143
"punto_01",1260,-77.475,3.275,27,26.1245708465576,26.5,13.8414287567139,13.8414285714286
"punto_01",1260,-77.475,3.275,28,26.5292129516602,26.8757142857143,16.501428604126,16.5014285714286
"punto_01",1260,-77.475,3.275,29,26.6744270324707,26.9714285714286,13.6885709762573,13.6885714285714
"punto_01",1260,-77.475,3.275,30,26.2888565063477,26.5485714285714,11.8442859649658,11.8442857142857
"punto_01",1260,-77.475,3.275,31,26.3122844696045,26.59,14.2042856216431,14.2042857142857
"punto_01",1260,-77.475,3.275,32,25.9381408691406,26.2942857142857,15.5200004577637,15.52
"punto_01",1260,-77.475,3.275,33,26.4703559875488,26.6985714285714,15.3971424102783,15.3971428571429
"punto_01",1260,-77.475,3.275,34,26.017427444458,26.3157142857143,13,13
"punto_01",1260,-77.475,3.275,35,26.5687141418457,26.8014285714286,16.9614276885986,16.9614285714286
"punto_01",1260,-77.475,3.275,36,26.5718555450439,26.8328571428571,13.4399995803833,13.44
"punto_01",1260,-77.475,3.275,37,26.7461414337158,27.0071428571429,13.334285736084,13.3342857142857
"punto_01",1260,-77.475,3.275,38,26.4898567199707,26.7328571428571,12.7242860794067,12.7242857142857
"punto_01",1260,-77.475,3.275,39,26.0007133483887,26.3928571428571,13.3842859268188,13.3842857142857
"punto_01",1260,-77.475,3.275,40,26.1687850952148,26.5885714285714,17.2228565216064,17.2228571428571
"punto_01",1260,-77.475,3.275,41,26.1702842712402,26.6357142857143,13.7028570175171,13.7028571428571
"punto_01",1260,-77.475,3.275,42,26.3906421661377,26.8142857142857,14.0714282989502,14.0714285714286
"punto_01",1260,-77.475,3.275,43,26.3564987182617,26.7042857142857,13.3157138824463,13.3157142857143
"punto_01",1260,-77.475,3.275,44,25.8213558197021,26.1871428571429,12.8014287948608,12.8014285714286
"punto_01",1260,-77.475,3.275,45,25.5752124786377,25.9885714285714,13.91428565979,13.9142857142857
"punto_01",1260,-77.475,3.275,46,25.2567119598389,25.7542857142857,18.4257144927979,18.4257142857143
"punto_01",1260,-77.475,3.275,47,25.4949989318848,25.9771428571429,11.9200000762939,11.92
"punto_01",1260,-77.475,3.275,48,25.7962131500244,26.1671428571429,13.2414283752441,13.2414285714286
"punto_01",1260,-77.475,3.275,49,25.5599269866943,25.9642857142857,14.8800001144409,14.88
"punto_01",1260,-77.475,3.275,50,25.7559986114502,26.1185714285714,9.77714252471924,9.77714285714286
"punto_01",1260,-77.475,3.275,51,25.7970695495605,26.0985714285714,14.2542858123779,14.2542857142857
"punto_01",1260,-77.475,3.275,52,25.0796413421631,25.5328571428571,12.1385717391968,12.1385714285714
"punto_02",138,-76.225,4.825,1,22.3260555267334,23.07,NA,15.9885714285714
"punto_02",138,-76.225,4.825,2,22.7089996337891,22.87,NA,14.3685714285714
"punto_02",138,-76.225,4.825,3,23.9457130432129,24.1157142857143,NA,14.7
"punto_02",138,-76.225,4.825,4,24.1417846679688,24.2942857142857,NA,15.6957142857143
"punto_02",138,-76.225,4.825,5,23.1363563537598,23.2128571428571,NA,13.8728571428571
"punto_02",138,-76.225,4.825,6,23.2154273986816,23.2914285714286,NA,14.5785714285714
"punto_02",138,-76.225,4.825,7,23.9232139587402,24.0357142857143,NA,15.2571428571429
"punto_02",138,-76.225,4.825,8,22.3165702819824,22.4885714285714,NA,16.1557142857143
"punto_02",138,-76.225,4.825,9,22.1012134552002,22.2757142857143,NA,14.1742857142857
"punto_02",138,-76.225,4.825,10,23.2290000915527,23.28,NA,13.8928571428571
"punto_02",138,-76.225,4.825,11,24.1415710449219,24.1385714285714,NA,13.7557142857143
"punto_02",138,-76.225,4.825,12,22.6696434020996,22.7171428571429,NA,14.9785714285714
"punto_02",138,-76.225,4.825,13,22.0506420135498,22.1071428571429,NA,14.7271428571429
"punto_02",138,-76.225,4.825,14,22.2122859954834,22.2942857142857,NA,14.2828571428571
"punto_02",138,-76.225,4.825,15,23.9017143249512,23.9657142857143,NA,15.6614285714286
"punto_02",138,-76.225,4.825,16,22.2272148132324,22.2957142857143,NA,13.49
"punto_02",138,-76.225,4.825,17,21.8013572692871,21.8228571428571,NA,14.8614285714286
"punto_02",138,-76.225,4.825,18,21.8964290618896,21.8814285714286,NA,14.4442857142857
"punto_02",138,-76.225,4.825,19,22.5365715026855,22.5185714285714,NA,13.42
"punto_02",138,-76.225,4.825,20,22.6334285736084,22.7014285714286,NA,14.4742857142857
"punto_02",138,-76.225,4.825,21,22.8827133178711,22.9557142857143,NA,13.9314285714286
"punto_02",138,-76.225,4.825,22,23.2121429443359,23.3771428571429,NA,17.1
"punto_02",138,-76.225,4.825,23,22.4511432647705,22.5471428571429,NA,13.9742857142857
"punto_02",138,-76.225,4.825,24,22.1142139434814,22.1857142857143,NA,14.1057142857143
"punto_02",138,-76.225,4.825,25,21.9092845916748,22.0142857142857,NA,14.5128571428571
"punto_02",138,-76.225,4.825,26,21.8482131958008,21.9357142857143,NA,14.5114285714286
"punto_02",138,-76.225,4.825,27,21.8167858123779,21.9542857142857,NA,14.7285714285714
"punto_02",138,-76.225,4.825,28,22.3866424560547,22.5771428571429,NA,17.3228571428571
"punto_02",138,-76.225,4.825,29,22.9545707702637,23.2085714285714,NA,15.9042857142857
"punto_02",138,-76.225,4.825,30,22.8314990997314,22.95,NA,14.97
"punto_02",138,-76.225,4.825,31,22.6732845306396,22.8542857142857,NA,15.6457142857143
"punto_02",138,-76.225,4.825,32,22.036642074585,22.0971428571429,NA,15.4442857142857
"punto_02",138,-76.225,4.825,33,23.1037139892578,23.2757142857143,NA,17.4042857142857
"punto_02",138,-76.225,4.825,34,22.4205703735352,22.4585714285714,NA,14.7042857142857
"punto_02",138,-76.225,4.825,35,22.8073558807373,22.8928571428571,NA,18.4671428571429
"punto_02",138,-76.225,4.825,36,22.7710723876953,22.7585714285714,NA,15.9728571428571
"punto_02",138,-76.225,4.825,37,23.1401424407959,23.1271428571429,NA,16.2857142857143
"punto_02",138,-76.225,4.825,38,22.75,22.7,NA,15.6614285714286
