"punto","variable","n","ME","MAE","RMSE","correlacion","diferencia_maxima","coincidencias_exactas","porcentaje_coincidencia"
"punto_01","temperatura",52,-0.394980328528436,0.394980328528436,0.40851835716251,0.977876316122028,0.838549750191824,0,0
"punto_01","radiacion",52,-0.019276577771365,0.0192768181811322,0.139005192478037,0.997522038098571,1.0023806980678,51,98.0769230769231
"punto_02","temperatura",52,-0.0968454687935964,0.102749320648529,0.147832734549506,0.991761359115497,0.743944473266602,0,0
"punto_03","radiacion",52,-0.0199297297131884,0.0199300795335035,0.143715799366076,0.995210348404424,1.0363493674142,51,98.0769230769231
