"id_celda","x","y","precipitacion_mm","ajuste_ganador","residual_ganador"
1,-76.0749984513968,4.97499932907522,36.6411552429199,6.89015460870039,-0.836960803532744
2,-76.0749984513968,4.92499932833016,35.1811752319336,6.86978179882885,-0.93840967832135
3,-76.0249984506518,4.92499932833016,39.3821258544922,7.15102227814355,-0.875504303148005
4,-76.1249984521419,4.8749993275851,40.123348236084,6.66577988239482,-0.33148053392036
5,-76.0749984513968,4.8749993275851,37.5581474304199,6.84583437308518,-0.717364137339569
6,-76.0249984506518,4.8749993275851,35.3913536071777,7.09504119368472,-1.14597793908928
7,-76.224998453632,4.82499932684005,49.4644088745117,6.40264018581483,0.630453647947924
8,-76.1749984528869,4.82499932684005,38.4299125671387,6.57063897783117,-0.371452533858165
9,-76.1249984521419,4.82499932684005,38.515552520752,6.64943964886899,-0.443349694577965
10,-76.0749984513968,4.82499932684005,36.1139640808105,6.88067834907555,-0.871188846562837
11,-76.0249984506518,4.82499932684005,34.8911514282227,7.08547890040281,-1.17860566422932
12,-75.9749984499067,4.82499932684005,39.1186370849609,7.29776638017451,-1.0432770257219
13,-75.9249984491616,4.82499932684005,43.216625213623,7.43190359694931,-0.857968305693166
14,-76.224998453632,4.77499932609499,48.059196472168,6.45312707498496,0.47934697633092
15,-76.1749984528869,4.77499932609499,49.6201362609863,6.61756162987337,0.426594548192698
16,-76.1249984521419,4.77499932609499,34.6992492675781,6.68711410639307,-0.796507238881189
17,-76.0749984513968,4.77499932609499,35.4868011474609,6.86296121089822,-0.905881293064238
18,-76.0249984506518,4.77499932609499,39.7876129150391,7.08574604595889,-0.778003746606524
19,-75.9749984499067,4.77499932609499,38.9098358154297,7.26193632243284,-1.02416141342645
20,-76.2749984543771,4.72499932534993,51.0581893920898,6.25377450394713,0.891726835503438
21,-76.224998453632,4.72499932534993,51.1941947937012,6.52052499461093,0.63448687076715
22,-76.1749984528869,4.72499932534993,33.7123260498047,6.66446374949407,-0.858232092919839
23,-76.1249984521419,4.72499932534993,25.6690845489502,6.69237621260171,-1.62590953956909
24,-76.0749984513968,4.72499932534993,41.1002426147461,6.82853783044673,-0.417590738577534
25,-76.0249984506518,4.72499932534993,40.4412689208984,7.05683506342656,-0.69749005620306
26,-75.9749984499067,4.72499932534993,53.5390205383301,7.19578911973934,0.121247202319618
27,-75.9249984491616,4.72499932534993,47.6831245422363,7.26474629007037,-0.359449443284104
28,-75.8749984484166,4.72499932534993,53.646614074707,7.29307972749931,0.0313051664496018
