"modelo","respuesta","n_parametros","MAE","RMSE","sesgo","R2_predictivo","R2_ajustado_entrenamiento","AIC_escala_transformada"
"M5_climatologia","original",6,7.96664357886264,9.99670846801837,0.00307271104398949,0.83493763907796,0.836769425888962,5106.79760646032
"M5_climatologia","raiz",6,9.24130307434832,11.8425392016894,-0.935842212971661,0.768354610595193,0.714403966601213,1925.99246289538
"M4_ambiental","raiz",6,10.0506038903849,13.2672638123949,-1.41809598582198,0.709265394211175,0.580776156095002,2189.29755798328
"M4_ambiental","original",6,10.4910413167717,13.8015550446781,-0.0215849161173392,0.685377308325554,0.688647299557407,5549.79074200981
"M4_ambiental","log1p",6,10.3152041685827,13.8500447584985,-3.3330984870334,0.683162664538888,0.377343376453225,1049.39682371319
"M3_coord_altitud","raiz",4,14.3540539002989,18.2290323422815,-2.30913154664433,0.451140444624314,0.315017812958675,2524.12989007165
"M1_coordenadas","raiz",3,14.510178908277,18.3468580140057,-2.32303666839647,0.444022266857717,0.311206560863433,2526.94135421516
"M3_coord_altitud","original",4,14.9288736952542,18.7903523375416,-0.0229795672011296,0.416818356092441,0.420776166601547,5973.64859496687
"M1_coordenadas","original",3,15.0170964992826,18.8197726636386,-0.0195886979686574,0.414990734596155,0.418245548243345,5975.64431665629
"M3_coord_altitud","log1p",4,14.6985153467935,18.9555569917098,-5.34217998900088,0.406518618292694,0.173291839235621,1241.86269789302
"M1_coordenadas","log1p",3,14.8687652126886,19.1298575849092,-5.37087034123749,0.395554049641025,0.168376380796325,1244.93458107997
"M2_altitud","raiz",2,16.2259428181968,20.796433127621,-2.68336555057687,0.285648918867273,0.205264061592681,2624.08998830849
"M2_altitud","original",2,16.8632815902004,21.119226205037,-0.026949427048405,0.263301132410106,0.267441551229108,6132.76732272696
"M5_climatologia","log1p",6,11.959183140713,21.2465813698666,-0.930306690446138,0.254389319714741,0.496797768070682,903.276724597743
"M2_altitud","log1p",2,16.269948798924,21.4337946024946,-5.94903581454015,0.241191603752907,0.116246229649332,1285.64602760875
"M0_intercepto","original",1,18.7062454261544,24.6414661769107,7.28758090883283e-15,-0.00292183920294087,0,6345.26104762881
"M0_intercepto","raiz",1,18.1422391459574,24.86715467352,-3.35276307507822,-0.0213772726920716,0,2780.69750536773
"M0_intercepto","log1p",1,18.0558188222972,25.6012076294739,-6.95178032754004,-0.0825672937286035,0,1369.42190086091
