"celda","x","y","sesgo_medio","n"
30,-76.0749984513968,4.97499932907522,NA,0
67,-76.0749984513968,4.92499932833016,NA,0
68,-76.0249984506518,4.92499932833016,NA,0
103,-76.1249984521419,4.8749993275851,NA,0
104,-76.0749984513968,4.8749993275851,NA,0
105,-76.0249984506518,4.8749993275851,NA,0
138,-76.224998453632,4.82499932684005,0.216993698706994,52
139,-76.1749984528869,4.82499932684005,NA,0
140,-76.1249984521419,4.82499932684005,NA,0
141,-76.0749984513968,4.82499932684005,NA,0
142,-76.0249984506518,4.82499932684005,NA,0
143,-75.9749984499067,4.82499932684005,NA,0
144,-75.9249984491616,4.82499932684005,NA,0
175,-76.224998453632,4.77499932609499,0.21987405190101,52
176,-76.1749984528869,4.77499932609499,NA,0
177,-76.1249984521419,4.77499932609499,NA,0
178,-76.0749984513968,4.77499932609499,NA,0
179,-76.0249984506518,4.77499932609499,NA,0
180,-75.9749984499067,4.77499932609499,NA,0
211,-76.2749984543771,4.72499932534993,-0.129300447610708,52
212,-76.224998453632,4.72499932534993,0.22275396493765,52
213,-76.1749984528869,4.72499932534993,NA,0
214,-76.1249984521419,4.72499932534993,NA,0
215,-76.0749984513968,4.72499932534993,NA,0
216,-76.0249984506518,4.72499932534993,NA,0
217,-75.9749984499067,4.72499932534993,NA,0
218,-75.9249984491616,4.72499932534993,NA,0
219,-75.8749984484166,4.72499932534993,NA,0
220,-75.8249984476715,4.72499932534993,NA,0
248,-76.2749984543771,4.67499932460487,-0.129042111910306,52
249,-76.224998453632,4.67499932460487,0.22563439149123,52
250,-76.1749984528869,4.67499932460487,NA,0
251,-76.1249984521419,4.67499932460487,NA,0
252,-76.0749984513968,4.67499932460487,NA,0
253,-76.0249984506518,4.67499932460487,NA,0
254,-75.9749984499067,4.67499932460487,NA,0
255,-75.9249984491616,4.67499932460487,NA,0
256,-75.8749984484166,4.67499932460487,NA,0
257,-75.8249984476715,4.67499932460487,NA,0
258,-75.7749984469265,4.67499932460487,NA,0
259,-75.7249984461814,4.67499932460487,NA,0
285,-76.2749984543771,4.62499932385981,-0.128783886249249,52
286,-76.224998453632,4.62499932385981,0.228514524606558,52
287,-76.1749984528869,4.62499932385981,NA,0
288,-76.1249984521419,4.62499932385981,NA,0
289,-76.0749984513968,4.62499932385981,NA,0
290,-76.0249984506518,4.62499932385981,NA,0
291,-75.9749984499067,4.62499932385981,NA,0
292,-75.9249984491616,4.62499932385981,NA,0
293,-75.8749984484166,4.62499932385981,NA,0
321,-76.3249984551221,4.57499932311476,NA,0
322,-76.2749984543771,4.57499932311476,-0.128525550548847,52
323,-76.224998453632,4.57499932311476,0.231394657721886,52
324,-76.1749984528869,4.57499932311476,NA,0
325,-76.1249984521419,4.57499932311476,NA,0
326,-76.0749984513968,4.57499932311476,NA,0
327,-76.0249984506518,4.57499932311476,NA,0
328,-75.9749984499067,4.57499932311476,NA,0
329,-75.9249984491616,4.57499932311476,NA,0
330,-75.8749984484166,4.57499932311476,NA,0
358,-76.3249984551221,4.5249993223697,NA,0
359,-76.2749984543771,4.5249993223697,-0.128267434927133,52
360,-76.224998453632,4.5249993223697,0.234275010915903,52
361,-76.1749984528869,4.5249993223697,NA,0
362,-76.1249984521419,4.5249993223697,NA,0
363,-76.0749984513968,4.5249993223697,NA,0
364,-76.0249984506518,4.5249993223697,NA,0
365,-75.9749984499067,4.5249993223697,NA,0
366,-75.9249984491616,4.5249993223697,NA,0
367,-75.8749984484166,4.5249993223697,NA,0
394,-76.3749984558672,4.47499932162464,NA,0
395,-76.3249984551221,4.47499932162464,NA,0
396,-76.2749984543771,4.47499932162464,-0.132907610673171,52
397,-76.224998453632,4.47499932162464,0.226890600644625,52
398,-76.1749984528869,4.47499932162464,NA,0
399,-76.1249984521419,4.47499932162464,NA,0
400,-76.0749984513968,4.47499932162464,NA,0
401,-76.0249984506518,4.47499932162464,NA,0
402,-75.9749984499067,4.47499932162464,NA,0
403,-75.9249984491616,4.47499932162464,NA,0
404,-75.8749984484166,4.47499932162464,NA,0
430,-76.4249984566122,4.42499932087958,NA,0
431,-76.3749984558672,4.42499932087958,NA,0
432,-76.3249984551221,4.42499932087958,NA,0
433,-76.2749984543771,4.42499932087958,-0.142445931067834,52
434,-76.224998453632,4.42499932087958,0.209242637340839,52
435,-76.1749984528869,4.42499932087958,NA,0
436,-76.1249984521419,4.42499932087958,NA,0
437,-76.0749984513968,4.42499932087958,NA,0
438,-76.0249984506518,4.42499932087958,NA,0
439,-75.9749984499067,4.42499932087958,NA,0
440,-75.9249984491616,4.42499932087958,NA,0
465,-76.5249984581023,4.37499932013452,NA,0
466,-76.4749984573573,4.37499932013452,NA,0
467,-76.4249984566122,4.37499932013452,NA,0
468,-76.3749984558672,4.37499932013452,NA,0
469,-76.3249984551221,4.37499932013452,NA,0
470,-76.2749984543771,4.37499932013452,-0.15198436150184,52
471,-76.224998453632,4.37499932013452,0.191594160520113,52
472,-76.1749984528869,4.37499932013452,NA,0
473,-76.1249984521419,4.37499932013452,NA,0
474,-76.0749984513968,4.37499932013452,NA,0
475,-76.0249984506518,4.37499932013452,NA,0
476,-75.9749984499067,4.37499932013452,NA,0
477,-75.9249984491616,4.37499932013452,NA,0
478,-75.8749984484166,4.37499932013452,NA,0
479,-75.8249984476715,4.37499932013452,NA,0
502,-76.5249984581023,4.32499931938946,NA,0
503,-76.4749984573573,4.32499931938946,NA,0
504,-76.4249984566122,4.32499931938946,NA,0
505,-76.3749984558672,4.32499931938946,NA,0
506,-76.3249984551221,4.32499931938946,NA,0
507,-76.2749984543771,4.32499931938946,-0.161522938654973,52
508,-76.224998453632,4.32499931938946,0.173945757058951,52
509,-76.1749984528869,4.32499931938946,NA,0
510,-76.1249984521419,4.32499931938946,NA,0
511,-76.0749984513968,4.32499931938946,NA,0
512,-76.0249984506518,4.32499931938946,NA,0
513,-75.9749984499067,4.32499931938946,NA,0
514,-75.9249984491616,4.32499931938946,NA,0
515,-75.8749984484166,4.32499931938946,NA,0
516,-75.8249984476715,4.32499931938946,NA,0
539,-76.5249984581023,4.27499931864441,NA,0
540,-76.4749984573573,4.27499931864441,NA,0
541,-76.4249984566122,4.27499931864441,NA,0
542,-76.3749984558672,4.27499931864441,NA,0
543,-76.3249984551221,4.27499931864441,NA,0
544,-76.2749984543771,4.27499931864441,-0.171061295729417,52
545,-76.224998453632,4.27499931864441,0.156297536996695,52
546,-76.1749984528869,4.27499931864441,NA,0
547,-76.1249984521419,4.27499931864441,NA,0
548,-76.0749984513968,4.27499931864441,NA,0
549,-76.0249984506518,4.27499931864441,NA,0
550,-75.9749984499067,4.27499931864441,NA,0
551,-75.9249984491616,4.27499931864441,NA,0
552,-75.8749984484166,4.27499931864441,NA,0
553,-75.8249984476715,4.27499931864441,NA,0
561,-77.2749984692782,4.22499931789935,NA,0
578,-76.4249984566122,4.22499931789935,NA,0
579,-76.3749984558672,4.22499931789935,NA,0
580,-76.3249984551221,4.22499931789935,NA,0
