"transformacion","media","sd","asimetria"
"Original",50.7829545735673,51.8565885474713,2.20595483141505
"Raiz cuadrada",6.18427832345776,3.54085839289337,0.357706439903861
"log1p",3.32497530521265,1.38615748394903,-1.12229783479091
