"variable","unidad","n","n_na","media","sd","minimo","p25","mediana","p75","maximo","n_negativos","n_ceros","n_extremos_tukey","nivel_analisis"
"precipitacion_mm","mm por periodo",570752,0,50.7829545735673,51.8565885474713,0,15.6136927604675,36.90700340271,68.3883991241455,660.308471679688,0,56403,31018,"espacio-tiempo completo"
"temperatura_bilineal_c","°C",570752,0,20.6267916421304,2.79759452026544,13.9422979354858,18.2633609771729,20.2714004516602,22.9410095214844,28.1516952514648,0,0,0,"espacio-tiempo completo"
"radiacion_bilineal_mj_m2_dia","MJ/m²/día",570752,0,15.2197561752762,1.40660278898481,8.56131553649902,14.2866222858429,15.2057709693909,16.104642868042,22.4447975158691,0,0,8671,"espacio-tiempo completo"
"altitud_m","m",686,0,1231.57745897909,887.67683340617,-2.9171736240387,669.48176574707,1138.9423828125,1671.02029418945,3856.46630859375,1,0,27,"686 celdas"
"clim_precipitacion_mm","mm por periodo",35672,0,50.7829545735673,36.7697048660547,2.76923531666398,24.7880770489573,39.5505179539323,64.1939696371555,247.010914802551,0,0,2266,"686 celdas x 52 semanas"
"clim_temperatura_bilineal_c","°C",35672,0,20.6267916421304,2.72416411313746,15.4815263152122,18.2167989313602,20.2651888132095,22.9290587007999,26.8844050168991,0,0,0,"686 celdas x 52 semanas"
"clim_radiacion_bilineal_mj_m2_dia","MJ/m²/día",35672,0,15.2197561752762,0.730558835648892,12.1414695978165,14.7800487428904,15.2272997498512,15.667327105999,17.792303442955,0,0,765,"686 celdas x 52 semanas"
