"","precipitacion_mm","temperatura_bilineal_c","radiacion_bilineal_mj_m2_dia","altitud_m"
"precipitacion_mm",1,0.878840774861937,-0.642564308436677,-0.67112913430781
"temperatura_bilineal_c",0.878840774861937,1,-0.8343775689781,-0.680304043480643
"radiacion_bilineal_mj_m2_dia",-0.642564308436677,-0.8343775689781,1,0.617421992293062
"altitud_m",-0.67112913430781,-0.680304043480643,0.617421992293062,1
