"id_celda","x","y","observado_mm","predicho_mm","error_mm","varianza_kriging","tipo_kriging"
1,-76.0749984513968,4.97499932907522,36.6411552429199,38.2371402038472,-1.5959849609273,0.849158017649606,"universal"
2,-76.0749984513968,4.92499932833016,35.1811752319336,37.5298392093741,-2.3486639774405,0.322772856982251,"universal"
3,-76.0249984506518,4.92499932833016,39.3821258544922,35.9630980577008,3.41902779679136,0.419348650751978,"universal"
4,-76.1249984521419,4.8749993275851,40.123348236084,37.5177253543137,2.60562288177027,0.369785278852803,"universal"
5,-76.0749984513968,4.8749993275851,37.5581474304199,35.7595093603579,1.79863807006207,0.29840423777789,"universal"
6,-76.0249984506518,4.8749993275851,35.3913536071777,36.9825371913421,-1.59118358416437,0.31984773939496,"universal"
7,-76.224998453632,4.82499932684005,49.4644088745117,46.57400384813,2.89040502638174,0.463889457899239,"universal"
8,-76.1749984528869,4.82499932684005,38.4299125671387,45.9660354027311,-7.53612283559244,0.321742736000592,"universal"
9,-76.1249984521419,4.82499932684005,38.515552520752,37.6166864914982,0.898866029253767,0.299358140821738,"universal"
10,-76.0749984513968,4.82499932684005,36.1139640808105,36.2887872778364,-0.17482319702583,0.294541688810228,"universal"
11,-76.0249984506518,4.82499932684005,34.8911514282227,37.1898797780801,-2.29872834985748,0.295235490489937,"universal"
12,-75.9749984499067,4.82499932684005,39.1186370849609,38.8028857874589,0.315751297502068,0.320848169051198,"universal"
13,-75.9249984491616,4.82499932684005,43.216625213623,45.2034072202254,-1.98678200660235,0.517049297923971,"universal"
14,-76.224998453632,4.77499932609499,48.059196472168,50.8988040847884,-2.83960761262043,0.320941918097952,"universal"
15,-76.1749984528869,4.77499932609499,49.6201362609863,38.9368514696855,10.6832847913008,0.29589564373399,"universal"
16,-76.1249984521419,4.77499932609499,34.6992492675781,35.5339747707809,-0.834725503202741,0.294301629444703,"universal"
17,-76.0749984513968,4.77499932609499,35.4868011474609,36.9382380809576,-1.45143693349665,0.293367014928437,"universal"
