"id_celda","x","y","observado_mm","predicho_mm","error_mm","varianza_kriging","tipo_kriging"
1,-76.0749984513968,4.97499932907522,36.6411552429199,38.2168347497815,-1.57567950686162,0.543608212899312,"ordinario"
2,-76.0749984513968,4.92499932833016,35.1811752319336,37.7851682550741,-2.60399302314053,0.320507127932629,"ordinario"
3,-76.0249984506518,4.92499932833016,39.3821258544922,35.9174756339613,3.46465022053085,0.393945494690988,"ordinario"
4,-76.1249984521419,4.8749993275851,40.123348236084,37.9736438414233,2.14970439466069,0.365953274769904,"ordinario"
5,-76.0749984513968,4.8749993275851,37.5581474304199,36.1469138618563,1.4112335685636,0.29517838387633,"ordinario"
6,-76.0249984506518,4.8749993275851,35.3913536071777,37.2768342240991,-1.88548061692138,0.318396604044664,"ordinario"
7,-76.224998453632,4.82499932684005,49.4644088745117,46.4899920236554,2.97441685085631,0.422863923446524,"ordinario"
8,-76.1749984528869,4.82499932684005,38.4299125671387,46.0200758900761,-7.5901633229374,0.31953257531535,"ordinario"
9,-76.1249984521419,4.82499932684005,38.515552520752,38.1350726324011,0.380479888350841,0.294574049920328,"ordinario"
10,-76.0749984513968,4.82499932684005,36.1139640808105,36.3355080936714,-0.221544012860882,0.293548277819154,"ordinario"
11,-76.0249984506518,4.82499932684005,34.8911514282227,37.360557532427,-2.46940610420435,0.294691109474569,"ordinario"
12,-75.9749984499067,4.82499932684005,39.1186370849609,38.8231864579437,0.29545062701726,0.319952376763879,"ordinario"
13,-75.9249984491616,4.82499932684005,43.216625213623,44.6015938334181,-1.38496861979507,0.482231380663747,"ordinario"
14,-76.224998453632,4.77499932609499,48.059196472168,50.6784069756828,-2.61921050351486,0.318915942374166,"ordinario"
15,-76.1749984528869,4.77499932609499,49.6201362609863,38.8343897974258,10.7857464635606,0.293575598199171,"ordinario"
16,-76.1249984521419,4.77499932609499,34.6992492675781,35.8040500712407,-1.10480080366261,0.293191587546841,"ordinario"
17,-76.0749984513968,4.77499932609499,35.4868011474609,36.9851052453232,-1.49830409786227,0.293206483864398,"ordinario"
18,-76.0249984506518,4.77499932609499,39.7876129150391,38.2243306812482,1.56328223379084,0.293425252852598,"ordinario"
19,-75.9749984499067,4.77499932609499,38.9098358154297,43.8811355106669,-4.97129969523724,0.310796608362648,"ordinario"
20,-76.2749984543771,4.72499932534993,51.0581893920898,45.526557422916,5.53163196917381,0.393413410738228,"ordinario"
21,-76.224998453632,4.72499932534993,51.1941947937012,41.4144051562908,9.77978963741036,0.294257487057213,"ordinario"
