"tipo_kriging","n_validos","MAE","RMSE","sesgo","R2_predictivo"
"ordinario",686,3.69615793149301,5.1666763246149,-0.451835486587864,0.955908333985781
"universal",686,3.78103496513989,5.38295772861754,-0.206211300900592,0.952139642610904
