"x","y","predicho_raiz","varianza"
-76.0749984513968,4.97499932907522,6.05319380516764,-4.44089209850063e-16
-76.0749984513968,4.92499932833016,5.9313721205075,-2.22044604925031e-16
-76.0249984506518,4.92499932833016,6.27551797499555,3.10245166669381e-32
-76.1249984521419,4.8749993275851,6.33429934847446,0
-76.0749984513968,4.8749993275851,6.12847023574562,-4.44089209850063e-16
-76.0249984506518,4.8749993275851,5.94906325459544,-2.22044604925031e-16
-76.224998453632,4.82499932684005,7.03309383376276,-2.22044604925031e-16
-76.1749984528869,4.82499932684005,6.199186443973,-2.22044604925031e-16
-76.1249984521419,4.82499932684005,6.20608995429102,-2.22044604925031e-16
-76.0749984513968,4.82499932684005,6.00948950251272,-6.66133814775094e-16
-76.0249984506518,4.82499932684005,5.90687323617349,-4.44089209850063e-16
-75.9749984499067,4.82499932684005,6.2544893544526,-4.44089209850063e-16
-75.9249984491616,4.82499932684005,6.57393529125615,-4.44089209850063e-16
-76.224998453632,4.77499932609499,6.93247405131588,-2.22044604925031e-16
-76.1749984528869,4.77499932609499,7.04415617806607,8.10053310883823e-33
-76.1249984521419,4.77499932609499,5.89060686751188,0
-76.0749984513968,4.77499932609499,5.95707991783398,-2.22044604925031e-16
-76.0249984506518,4.77499932609499,6.30774229935237,7.85881124632002e-33
-75.9749984499067,4.77499932609499,6.23777490900639,-2.22044604925031e-16
-76.2749984543771,4.72499932534993,7.14550133945057,-2.22044604925031e-16
-76.224998453632,4.72499932534993,7.15501186537808,9.99906393684071e-32
-76.1749984528869,4.72499932534993,5.80623165657423,-2.22044604925031e-16
-76.1249984521419,4.72499932534993,5.06646667303262,0
-76.0749984513968,4.72499932534993,6.4109470918692,-2.22044604925031e-16
-76.0249984506518,4.72499932534993,6.3593450072235,-2.22044604925031e-16
-75.9749984499067,4.72499932534993,7.31703632205896,-2.22044604925031e-16
-75.9249984491616,4.72499932534993,6.90529684678626,-2.22044604925031e-16
-75.8749984484166,4.72499932534993,7.32438489394891,-2.22044604925031e-16
-75.8249984476715,4.72499932534993,7.71733543623391,7.85287476721708e-33
-76.2749984543771,4.67499932460487,6.18493414187697,2.22044604925031e-16
-76.224998453632,4.67499932460487,5.71658100623781,-4.44089209850063e-16
-76.1749984528869,4.67499932460487,5.8000558521607,-4.44089209850063e-16
-76.1249984521419,4.67499932460487,5.52577153683271,-2.22044604925031e-16
-76.0749984513968,4.67499932460487,5.62961660187498,-4.44089209850063e-16
-76.0249984506518,4.67499932460487,6.30036893702867,-2.22044604925031e-16
-75.9749984499067,4.67499932460487,7.82293468190509,3.1538495335459e-32
-75.9249984491616,4.67499932460487,6.64445776340903,-2.22044604925031e-16
-75.8749984484166,4.67499932460487,6.76253475948856,-2.22044604925031e-16
-75.8249984476715,4.67499932460487,7.29692022076793,-2.22044604925031e-16
-75.7749984469265,4.67499932460487,6.5354991761304,-2.22044604925031e-16
-75.7249984461814,4.67499932460487,7.82687934512876,-4.44089209850063e-16
-76.2749984543771,4.62499932385981,6.55210765678448,-4.44089209850063e-16
-76.224998453632,4.62499932385981,6.486312539973,2.06606568720251e-33
-76.1749984528869,4.62499932385981,6.04967818231839,-2.22044604925031e-16
-76.1249984521419,4.62499932385981,5.73952159629153,-4.44089209850063e-16
-76.0749984513968,4.62499932385981,5.89709020726304,2.22044604925031e-16
-76.0249984506518,4.62499932385981,5.90834355463275,7.19025428326181e-32
-75.9749984499067,4.62499932385981,6.92829187697224,0
-75.9249984491616,4.62499932385981,7.20143700140839,8.00407992453341e-33
-75.8749984484166,4.62499932385981,7.2532004822925,7.11293647593424e-32
