"semana","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia"
1,45.6166340559504,20.4476061712722,20.446013034954,15.3030548392857,15.4625744842232
2,42.954722647938,20.418327840094,20.4201777302837,14.9574554612963,15.0751822485694
3,27.8247856012499,20.7359888617916,20.735251626885,15.1204866464562,15.2256962097421
4,33.4620172898597,20.6622954755587,20.6706246417396,15.2981024334973,15.4287121005726
5,30.9099572259911,20.9506393869139,20.9527222803487,15.2709283489875,15.4002653204839
6,41.0185971881966,20.7093540925326,20.7148598946913,14.3983292550978,14.4744809023145
7,39.8605772541896,20.8408643300957,20.8478642868057,15.531646814534,15.5803175757126
8,37.9716234985011,20.6879824823089,20.7018244748734,15.3192248691101,15.3453236172741
9,37.9576627991811,20.6181998434463,20.6306908850941,15.1089954837592,15.099026491708
10,37.3398584986632,20.7905539241199,20.7930204689329,15.0066311114384,15.0004989651654
11,52.1723064233497,20.6666850106188,20.6811182782184,15.173171749181,15.1950085999841
12,42.1052957560552,20.8126191358698,20.8169828710681,15.7167606451942,15.697084157877
13,54.1606939562838,20.8907115548067,20.8900265122815,14.8197052216391,14.862100847956
14,58.7199238373874,20.8711907864486,20.8675660473612,15.5534546166745,15.557405557907
15,63.9559205667531,20.9067341506307,20.9008526669126,15.3934966115493,15.3814870185998
16,65.6314021453652,20.7102042788493,20.7085939002802,15.5213362562413,15.528213862775
17,57.7946575196683,20.8681346568179,20.8620616943947,15.4763939534436,15.532836048405
18,69.8257384917349,20.8728485699124,20.8630748097473,15.6387145333318,15.6794132786659
19,57.419392612722,21.0291720686084,21.0140957246716,15.0193597159128,15.0976763578789
20,80.0436729166668,20.9685721950872,20.9536243385198,15.1191027118409,15.1943675610658
21,63.5258495362785,20.9604403481713,20.9426836145515,14.905107371748,15.0019826583195
22,57.4265343348547,20.7301814601303,20.7157032263001,14.6982349723838,14.7725681052611
23,54.5506702578971,20.6781687875531,20.6564271854068,14.6570545812042,14.7658827403892
24,45.164237630969,20.6696726393943,20.6450497084039,15.0848416757306,15.1723081619851
25,43.0999501343822,20.7226868746232,20.6942891395996,15.2765260297077,15.3507463725246
26,42.4199579394268,20.5882634022667,20.5613727810258,15.3437380679495,15.4041557471015
27,42.1632966944519,20.6080635926814,20.5814321343475,15.2339977327484,15.3122925932136
28,32.2205166194273,20.6270943900934,20.6021953729951,15.3929824839528,15.4542138808496
29,31.7691473648463,20.8100868201986,20.7778340653671,15.5508311339613,15.6002605213368
30,32.4347523629133,20.7475970870552,20.7215959456676,15.1858113335972,15.2223877450641
31,43.5543418458986,20.8412426386908,20.8136767685066,15.7672908579817,15.7858324079576
32,34.2165862355305,20.7869719033165,20.7685319870797,15.3060591660505,15.3869330232241
33,41.2994882183546,20.729264467694,20.7196002201158,15.433747497227,15.4822345297816
34,40.1287819934169,20.7326420257981,20.7299564023755,15.8543141849187,15.8957297929696
35,36.0172962458701,20.8249244568299,20.8141990554228,16.1978555204396,16.2569209039211
36,44.1884727908662,20.8107615345247,20.812621986727,15.9684792634523,16.0136552291431
37,39.5271581168403,20.8644564380277,20.8687510476516,15.9544713395504,16.0218910363777
38,39.4883014343179,20.769171653701,20.7772745305004,16.1801058342436,16.2422783164519
39,48.9345209803595,20.7321112941375,20.7373428654914,16.1531688817736,16.2152389079419
40,59.8318097307822,20.5579642383246,20.5764589563403,15.8974752109878,15.9599205971459
41,81.6049856892828,20.3806771941852,20.3952604432322,15.1587965208657,15.2147929940384
42,76.6468830705558,20.2680318146162,20.287405853977,15.1126291102814,15.1781058535631
43,70.001978701062,20.1864955499117,20.2131628127383,14.7452056896235,14.8426134138865
44,89.843489966548,20.1160121991057,20.1431796195382,14.9273946239198,14.9997915629917
45,74.9405321949012,20.2144642489645,20.236345735479,14.5704090909777,14.6232678826801
46,85.7305706500486,19.9638808216715,19.9887271066449,13.7595645882645,13.8333645296166
47,73.5202263248949,19.9643644726137,19.9905548601387,14.4768791661839,14.5318736746777
48,55.5308283942347,20.1718940061487,20.1884153686008,13.8527156131956,13.9604487989109
49,57.9690597506984,20.1507107123689,20.1648499036843,14.3160379608067,14.4170747210785
50,47.9903940730036,20.2217329274809,20.2344334788468,13.9783891309976,14.1037311410591
51,43.6555805832973,20.2974105616353,20.3054867032318,14.0132179051725,14.1238538819221
52,34.5719976735793,20.4563467386165,20.457300342728,14.3420256900197,14.4632981820982
