"variable_1","variable_2","correlacion","tipo"
"temperatura_vecino_c","altitud_m",-0.555268220697961,"promedios_espaciales"
"temperatura_bilineal_c","altitud_m",-0.680304043480643,"promedios_espaciales"
"radiacion_vecino_mj_m2_dia","altitud_m",0.372297895946318,"promedios_espaciales"
"radiacion_bilineal_mj_m2_dia","altitud_m",0.617421992293062,"promedios_espaciales"
"altitud_m","altitud_m",1,"promedios_espaciales"
"precipitacion_mm","precipitacion_mm",1,"anomalias_semanales"
"temperatura_vecino_c","precipitacion_mm",0.420637506162071,"anomalias_semanales"
"temperatura_bilineal_c","precipitacion_mm",0.48959467110247,"anomalias_semanales"
"radiacion_vecino_mj_m2_dia","precipitacion_mm",-0.16301389073274,"anomalias_semanales"
"radiacion_bilineal_mj_m2_dia","precipitacion_mm",-0.210284820130416,"anomalias_semanales"
"precipitacion_mm","temperatura_vecino_c",0.420637506162071,"anomalias_semanales"
"temperatura_vecino_c","temperatura_vecino_c",1,"anomalias_semanales"
"temperatura_bilineal_c","temperatura_vecino_c",0.8977995762303,"anomalias_semanales"
"radiacion_vecino_mj_m2_dia","temperatura_vecino_c",-0.100574865671472,"anomalias_semanales"
"radiacion_bilineal_mj_m2_dia","temperatura_vecino_c",-0.129273774678273,"anomalias_semanales"
"precipitacion_mm","temperatura_bilineal_c",0.48959467110247,"anomalias_semanales"
"temperatura_vecino_c","temperatura_bilineal_c",0.8977995762303,"anomalias_semanales"
"temperatura_bilineal_c","temperatura_bilineal_c",1,"anomalias_semanales"
"radiacion_vecino_mj_m2_dia","temperatura_bilineal_c",-0.0942671261684806,"anomalias_semanales"
"radiacion_bilineal_mj_m2_dia","temperatura_bilineal_c",-0.143322923387599,"anomalias_semanales"
"precipitacion_mm","radiacion_vecino_mj_m2_dia",-0.16301389073274,"anomalias_semanales"
"temperatura_vecino_c","radiacion_vecino_mj_m2_dia",-0.100574865671472,"anomalias_semanales"
"temperatura_bilineal_c","radiacion_vecino_mj_m2_dia",-0.0942671261684806,"anomalias_semanales"
"radiacion_vecino_mj_m2_dia","radiacion_vecino_mj_m2_dia",1,"anomalias_semanales"
"radiacion_bilineal_mj_m2_dia","radiacion_vecino_mj_m2_dia",0.895603920997641,"anomalias_semanales"
"precipitacion_mm","radiacion_bilineal_mj_m2_dia",-0.210284820130416,"anomalias_semanales"
"temperatura_vecino_c","radiacion_bilineal_mj_m2_dia",-0.129273774678273,"anomalias_semanales"
"temperatura_bilineal_c","radiacion_bilineal_mj_m2_dia",-0.143322923387599,"anomalias_semanales"
"radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia",0.895603920997641,"anomalias_semanales"
"radiacion_bilineal_mj_m2_dia","radiacion_bilineal_mj_m2_dia",1,"anomalias_semanales"
