"variable","n","na","media","sd","min","p25","mediana","p75","p95","p99","max","pct_ceros"
"precipitacion_mm",570752,0,50.7829545735673,51.8565885474713,0,15.6136927604675,36.90700340271,68.3883991241455,152.130159759521,248.222312011719,660.308471679688,9.88222555505719
"temperatura_vecino_c",570752,0,20.6277398483907,3.32054827628573,13.210000038147,17.7057151794434,21.2371425628662,23.0571422576904,26.1457138061523,27.0671424865723,28.4242858886719,0
"temperatura_bilineal_c",570752,0,20.6267916421304,2.79759452026544,13.9422979354858,18.2633609771729,20.2714004516602,22.9410095214844,25.3787506103516,26.3292988014221,28.1516952514648,0
"radiacion_vecino_mj_m2_dia",570752,0,15.1546482597767,1.60132435295927,7.40000009536743,14.1300001144409,15.1357145309448,16.1085720062256,17.8142852783203,19.2242851257324,23.6928577423096,0
"radiacion_bilineal_mj_m2_dia",570752,0,15.2197561752762,1.40660278898481,8.56131553649902,14.2866222858429,15.2057709693909,16.104642868042,17.5435026168823,18.8521127510071,22.4447975158691,0
"altitud_m",570752,0,1231.57745897909,887.03037974433,-2.9171736240387,667.631591796875,1138.9423828125,1671.49291992188,3007.64990234375,3621.12182617188,3856.46630859375,0
