"variable","n","Moran_I","Geary_C","Moran_esperado"
"precipitacion_mm",686,0.985151569383823,0.0144859518899899,-0.00145985401459854
"temperatura_vecino_c",686,0.918275291237524,0.0785932885342204,-0.00145985401459854
"temperatura_bilineal_c",686,0.989792612612544,0.00769296934912703,-0.00145985401459854
"radiacion_vecino_mj_m2_dia",686,0.847465181568333,0.149381909760709,-0.00145985401459854
"radiacion_bilineal_mj_m2_dia",686,0.98068886962906,0.0119713234353804,-0.00145985401459854
"altitud_m",686,0.924661059696565,0.0638548753232635,-0.00145985401459854
