"anio","semana","variable","criterio","validos","NA_interno_original","NA_control_calidad","Dato_fuera_Valle"
2010,12,"temperatura","centro",122,564,0,10
2010,13,"temperatura","centro",122,564,0,10
2010,14,"temperatura","centro",122,564,0,10
2010,15,"temperatura","centro",122,564,0,10
2010,16,"temperatura","centro",122,564,0,10
2010,17,"temperatura","centro",122,564,0,10
2010,18,"temperatura","centro",122,564,0,10
2010,19,"temperatura","centro",122,564,0,10
2010,20,"temperatura","centro",122,564,0,10
2010,21,"temperatura","centro",122,564,0,10
2010,22,"temperatura","centro",122,564,0,10
2010,23,"temperatura","centro",122,564,0,10
2010,24,"temperatura","centro",122,564,0,10
2010,25,"temperatura","centro",122,564,0,10
2010,26,"temperatura","centro",122,564,0,10
2010,27,"temperatura","centro",122,564,0,10
2010,28,"temperatura","centro",122,564,0,10
2010,29,"temperatura","centro",122,564,0,10
2010,30,"temperatura","centro",122,564,0,10
2010,31,"temperatura","centro",122,564,0,10
2010,32,"temperatura","centro",122,564,0,10
2010,33,"temperatura","centro",122,564,0,10
2010,34,"temperatura","centro",122,564,0,10
2010,35,"temperatura","centro",122,564,0,10
2010,36,"temperatura","centro",122,564,0,10
2010,37,"temperatura","centro",122,564,0,10
2010,38,"temperatura","centro",122,564,0,10
2010,39,"temperatura","centro",122,564,0,10
2010,40,"temperatura","centro",122,564,0,10
2010,41,"temperatura","centro",122,564,0,10
2010,42,"temperatura","centro",122,564,0,10
2010,43,"temperatura","centro",122,564,0,10
2010,44,"temperatura","centro",122,564,0,10
2010,45,"temperatura","centro",122,564,0,10
2010,46,"temperatura","centro",122,564,0,10
2010,47,"temperatura","centro",122,564,0,10
2010,48,"temperatura","centro",122,564,0,10
2010,49,"temperatura","centro",122,564,0,10
2010,50,"temperatura","centro",122,564,0,10
2010,51,"temperatura","centro",122,564,0,10
2010,52,"temperatura","centro",122,564,0,10
2010,1,"temperatura","interseccion",132,657,0,0
2010,2,"temperatura","interseccion",132,657,0,0
2010,3,"temperatura","interseccion",132,657,0,0
