"anio","variable","metodo","periodo","n","ME","MAE","RMSE","correlacion","max_abs","pct_exacta"
2010,"temperatura","near","S01_S52",6344,-0.0209078092743439,0.485022878135739,0.605775362100458,0.976315547257197,1.98778915405273,0
2010,"temperatura","near","S02_S52",6222,-0.0244396956777006,0.486294752989732,0.606803054787244,0.976242445907195,1.98778915405273,0
2010,"radiacion","near","S01_S52",1404,-0.00198886808846411,0.795485707769367,1.01083158702131,0.669825472331183,3.56571388244629,0
2010,"radiacion","near","S02_S52",1377,0.0387751205987314,0.770280480644542,0.977440764752702,0.663748897219605,3.56571388244629,0
2010,"temperatura","bilinear","S01_S52",6344,0.00133044888062255,0.343721457267319,0.423830125928142,0.987952839845285,1.33776092529297,0.0157629255989912
2010,"temperatura","bilinear","S02_S52",6222,-0.00268691515700298,0.345238360206018,0.42550762055344,0.987863816437496,1.33776092529297,0.0160720025715204
2010,"radiacion","bilinear","S01_S52",1404,-0.0109292156675942,0.791380487615906,1.01224780017444,0.659302089395879,3.59821510314941,0
2010,"radiacion","bilinear","S02_S52",1377,0.0331761381638249,0.76257809990112,0.970460551333035,0.655953834638138,3.59821510314941,0
2011,"temperatura","near","S01_S52",6344,-0.0149413333714835,0.459144709540195,0.57132863278501,0.978714216577469,1.90300369262695,0
2011,"temperatura","near","S02_S52",6222,-0.0144076525149565,0.460194107498321,0.572722196834438,0.978620304119082,1.90300369262695,0
2011,"radiacion","near","S01_S52",1404,0.00218495140727769,0.562294911794853,0.725554884402242,0.845323330481884,2.93142890930176,0
2011,"radiacion","near","S02_S52",1377,0.0163246887528386,0.559223407061098,0.72521971593681,0.846674607384654,2.93142890930176,0
2011,"temperatura","bilinear","S01_S52",6344,-0.000185566170970248,0.279147329576981,0.34833307356833,0.992018897083762,1.03072357177734,0
2011,"temperatura","bilinear","S02_S52",6222,0.000598594330775704,0.28027034825123,0.349817304906284,0.991945213274884,1.03072357177734,0
2011,"radiacion","bilinear","S01_S52",1404,0.0122527342576247,0.565747405049468,0.729678176231923,0.84199139793762,3.29042530059814,0.142450142450142
2011,"radiacion","bilinear","S02_S52",1377,0.0268901978702587,0.562180379204068,0.728947953741821,0.843539529359859,3.29042530059814,0.145243282498184
2012,"temperatura","near","S01_S52",6344,-0.0124364145767193,0.424904843146383,0.535003439283301,0.981413573463006,1.67729187011719,0
2012,"temperatura","near","S02_S52",6222,-0.0109201909184494,0.425025994660424,0.535284094609954,0.981419481193328,1.67729187011719,0
2012,"radiacion","near","S01_S52",1404,0.0109212065693999,0.302918589013255,0.386991542180925,0.938172115165312,1.83142852783203,0
2012,"radiacion","near","S02_S52",1377,0.0112720245715926,0.306811021736937,0.390419530647317,0.934874509027933,1.83142852783203,0
2012,"temperatura","bilinear","S01_S52",6344,0.0058939786155768,0.226963426997653,0.280945588978099,0.994917727403468,0.849292755126953,0.0157629255989912
2012,"temperatura","bilinear","S02_S52",6222,0.00763658556053777,0.227225024077104,0.281516816268744,0.994905213137422,0.849292755126953,0.0160720025715204
2012,"radiacion","bilinear","S01_S52",1404,0.0301883845587402,0.315801766523269,0.401636020108807,0.928340572599883,1.68738269805908,0
2012,"radiacion","bilinear","S02_S52",1377,0.0322908873824685,0.319144433879645,0.404522084562594,0.924746277055166,1.68738269805908,0
2013,"temperatura","near","S01_S52",6344,-0.0139889655467992,0.404861766332937,0.512496275576853,0.98146235024054,1.66900444030762,0
2013,"temperatura","near","S02_S52",6222,-0.0133399776383942,0.404418910059351,0.511641716798174,0.981482914241178,1.66900444030762,0
2013,"radiacion","near","S01_S52",1404,-0.00282898112240001,0.384522067175971,0.482049711381483,0.918150492413991,2.16714286804199,0
2013,"radiacion","near","S02_S52",1377,0.0037722286315785,0.385405035579906,0.484262492563115,0.916598749214259,2.16714286804199,0
2013,"temperatura","bilinear","S01_S52",6344,0.00492408777696338,0.226262512002587,0.279802041918328,0.994516555025593,0.846254348754883,0.0472887767969735
2013,"temperatura","bilinear","S02_S52",6222,0.00527406512867098,0.226707052011959,0.280578033240084,0.994499150859323,0.846254348754883,0.0482160077145612
2013,"radiacion","bilinear","S01_S52",1404,0.0143500637804341,0.384572894484909,0.490517367862565,0.911982238341228,1.98421955108643,0
2013,"radiacion","bilinear","S02_S52",1377,0.0207208697139654,0.385910439335443,0.492235203276881,0.910738337099853,1.98421955108643,0
2014,"temperatura","near","S01_S52",6344,-0.0136545367379207,0.435236635454666,0.547172128853637,0.979753117020685,1.8641471862793,0.0157629255989912
2014,"temperatura","near","S02_S52",6222,-0.0238346305547976,0.432673651855577,0.543896025129087,0.980073527129951,1.8641471862793,0.0160720025715204
2014,"radiacion","near","S01_S52",1404,0.00249147279310091,0.613283189952883,0.775920425547525,0.782743836916213,2.85857105255127,0
2014,"radiacion","near","S02_S52",1377,-0.0309181393448131,0.591849885994573,0.745192538106917,0.800084491159707,2.85857105255127,0
