"variable","metodo","periodo","MAE_mediana_anual","RMSE_mediana_anual","correlacion_mediana_anual","pct_exacta_mediana_anual"
"radiacion","bilinear","S01_S52",0.563259933069561,0.720565158360611,0.842467094262346,0
"temperatura","bilinear","S01_S52",0.256530708953983,0.319268223952583,0.992882836327247,0.0157629255989912
"radiacion","near","S01_S52",0.567092940678284,0.722414664273348,0.845460104183993,0
"temperatura","near","S01_S52",0.43623783045729,0.547545381625136,0.979291626669567,0
"radiacion","bilinear","S02_S52",0.553658061211059,0.709779102653783,0.841045203742452,0
"temperatura","bilinear","S02_S52",0.254367389850623,0.316187254742267,0.993039199169536,0.0160720025715204
"radiacion","near","S02_S52",0.556502174274941,0.70936814756319,0.843799517353321,0
"temperatura","near","S02_S52",0.436037937263629,0.548181536526892,0.97943605506743,0
