"id_celda","celda_raster","x","y","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia","altitud_m"
686,1420,-76.8749984633177,3.07499930076301,60.951069491987,21.2194797511284,21.4349241738136,15.1365230278327,14.901113652266,1218.8056640625
676,1376,-77.2249984685331,3.12499930150807,114.755703289921,25.3431043670728,23.8025007843971,15.0256902323319,14.84107955144,103.631950378418
677,1381,-76.9749984648078,3.12499930150807,79.0675971026604,21.2194797511284,22.21397877198,15.1365230278327,14.9002506973652,606.530883789062
678,1382,-76.9249984640628,3.12499930150807,67.0963245601608,21.2194797511284,21.8962743603266,15.1365230278327,14.9120849267795,615.463073730469
679,1383,-76.8749984633177,3.12499930150807,57.5844848815065,21.2194797511284,21.578564870816,15.1365230278327,14.9239191653637,1090.28063964844
680,1384,-76.8249984625727,3.12499930150807,54.4164265377017,21.2194797511284,21.0956462071492,15.1365230278327,14.9357534039479,1833.25561523438
681,1385,-76.7749984618276,3.12499930150807,48.1967916835386,21.2194797511284,20.6127274976327,15.1365230278327,14.9475876150223,1989.61437988281
682,1386,-76.7249984610826,3.12499930150807,48.3463434876444,21.2194797511284,20.1298088431358,15.1365230278327,14.9594218799701,1441.38708496094
683,1387,-76.6749984603375,3.12499930150807,44.4863784755938,21.2194797511284,19.6468901634216,15.1365230278327,14.9712561013607,1266.634765625
684,1388,-76.6249984595924,3.12499930150807,42.073891410819,21.2194797511284,19.1639714997548,15.1365230278327,14.9830903238975,1079.39135742188
685,1390,-76.5249984581023,3.12499930150807,39.338979445971,15.2818818642543,18.1981341506426,15.1365230278327,15.0067587815798,973.311462402344
659,1336,-77.3749984707683,3.17499930225313,125.26277207182,25.3431043670728,24.8505123097163,15.0256902323319,14.8367724968837,45.9602584838867
660,1337,-77.3249984700232,3.17499930225313,118.385571753749,25.3431043670728,24.5376821939762,15.0256902323319,14.8477676946383,68.7179946899414
661,1338,-77.2749984692782,3.17499930225313,111.110182458392,25.3431043670728,24.2248520278014,15.0256902323319,14.8587629153178,83.2518539428711
662,1339,-77.2249984685331,3.17499930225313,112.866393375282,25.3431043670728,23.9120219051838,15.0256902323319,14.8697581566297,114.255386352539
663,1340,-77.1749984677881,3.17499930225313,104.575031635566,21.2194797511284,23.5991917435939,15.0256902323319,14.8807533738705,140.60969543457
664,1341,-77.124998467043,3.17499930225313,97.4221081934296,21.2194797511284,23.2863616163914,15.0256902323319,14.8917485819413,191.504211425781
665,1343,-77.0249984655529,3.17499930225313,74.0398774427863,21.2194797511284,22.6607013298915,15.0256902323319,14.9137390233003,789.271606445312
666,1344,-76.9749984648078,3.17499930225313,77.1502523107024,21.2194797511284,22.3478712118589,15.1365230278327,14.9247342577347,951.094604492188
667,1345,-76.9249984640628,3.17499930225313,64.6747397470933,21.2194797511284,22.0350410709014,15.1365230278327,14.9357294761218,844.435180664062
668,1346,-76.8749984633177,3.17499930225313,54.8376967181953,21.2194797511284,21.7222055746959,15.1365230278327,14.946724704825,1258.95385742188
669,1347,-76.8249984625727,3.17499930225313,52.7255929127479,21.2194797511284,21.2361225096079,15.1365230278327,14.9577199048721,1872.87890625
670,1348,-76.7749984618276,3.17499930225313,47.0131169443305,21.2194797511284,20.7500395385119,15.1365230278327,14.968715146184,2201.90576171875
671,1349,-76.7249984610826,3.17499930225313,47.6014854280421,21.2194797511284,20.2639564848863,15.1365230278327,14.9797103473773,1801.310546875
672,1350,-76.6749984603375,3.17499930225313,44.1384267857155,21.2194797511284,19.7778734243833,15.1365230278327,14.9907055841042,1414.98168945312
673,1351,-76.6249984595924,3.17499930225313,41.3334007347719,21.2194797511284,19.2917903432479,15.1365230278327,15.00170080593,1203.83752441406
674,1352,-76.5749984588474,3.17499930225313,38.6629462490002,21.2194797511284,18.805707353812,15.1365230278327,15.0126960071234,1018.42047119141
675,1353,-76.5249984581023,3.17499930225313,38.1697152699702,15.2818818642543,18.3196243460362,15.1365230278327,15.0236912438503,970.681884765625
636,1296,-77.5249984730035,3.22499930299818,133.983028876094,25.3431043670728,25.7153098239348,15.0256902323319,14.8425772854915,10.0182275772095
637,1297,-77.4749984722584,3.22499930299818,132.614487816508,25.3431043670728,25.5613224460528,15.0256902323319,14.847655698657,12.6908264160156
638,1299,-77.3749984707683,3.22499930299818,125.541785604106,25.3431043670728,24.9454106986523,15.0256902323319,14.8679680984754,52.8435401916504
639,1300,-77.3249984700232,3.22499930299818,118.038690133164,25.3431043670728,24.637454787126,15.0256902323319,14.8781243253213,94.3567123413086
640,1301,-77.2749984692782,3.22499930299818,109.790134919377,25.3431043670728,24.3294989397893,15.0256902323319,14.8882805429972,80.1293792724609
641,1302,-77.2249984685331,3.22499930299818,112.142609929236,25.3431043670728,24.0215430099231,15.0256902323319,14.8984367331633,90.8140335083008
642,1303,-77.1749984677881,3.22499930299818,103.201721150141,21.2194797511284,23.7135871740488,15.0256902323319,14.9085929623017,127.398765563965
643,1304,-77.124998467043,3.22499930299818,95.7081514172829,21.2194797511284,23.4056312716924,15.0256902323319,14.9187491570528,179.380813598633
644,1305,-77.074998466298,3.22499930299818,83.7432325760333,21.2194797511284,23.0976753899684,15.0256902323319,14.928905375875,523.903686523438
645,1306,-77.0249984655529,3.22499930299818,71.3407364522035,21.2194797511284,22.7897195174144,15.0256902323319,14.9390616061596,1051.82604980469
646,1307,-76.9749984648078,3.22499930299818,74.1216125505475,21.2194797511284,22.4817636311054,15.1365230278327,14.9492177871557,1249.63293457031
647,1308,-76.9249984640628,3.22499930299818,62.6576165599892,21.2194797511284,22.1738077149941,15.1365230278327,14.9593739991005,1228.59436035156
648,1309,-76.8749984633177,3.22499930299818,53.931158309086,21.2194797511284,21.8658462900382,15.1365230278327,14.9695302144839,1254.04504394531
649,1310,-76.8249984625727,3.22499930299818,50.8185730248761,21.2194797511284,21.3765988831337,15.1365230278327,14.9796864229899,1915.40002441406
650,1311,-76.7749984618276,3.22499930299818,46.1782762144621,21.2194797511284,20.8873514555968,15.1365230278327,14.9898426418121,2425.02880859375
651,1312,-76.7249984610826,3.22499930299818,47.4451742640768,21.2194797511284,20.3981041472692,15.1365230278327,14.9999988434406,2273.73974609375
652,1313,-76.6749984603375,3.22499930299818,44.0781965940618,21.2194797511284,19.9088567174398,15.1365230278327,15.0101550381917,1716.0107421875
653,1314,-76.6249984595924,3.22499930299818,40.7339141894705,21.2194797511284,19.4196093449226,15.1365230278327,15.0203112627451,1270.81750488281
654,1315,-76.5749984588474,3.22499930299818,37.5781654974876,21.2194797511284,18.9303619082157,15.1365230278327,15.0304674872985,1024.43579101562
655,1316,-76.5249984581023,3.22499930299818,36.0069442725239,15.2818818642543,18.4411145746708,15.1365230278327,15.0406236809034,969.558715820312
656,1317,-76.4749984573573,3.22499930299818,35.0591235533357,15.2818818642543,17.9518672067385,15.1365230278327,15.0740443043984,960.66845703125
657,1324,-76.1249984521419,3.22499930299818,32.1194736560663,15.2818818642543,16.5118570075585,15.1365230278327,15.4708192142156,3007.64990234375
658,1325,-76.0749984513968,3.22499930299818,33.1418839199468,15.2818818642543,16.8164884001017,15.1365230278327,15.5275013561432,3761.01391601562
611,1260,-77.4749984722584,3.27499930374324,132.817902288758,26.1702300722782,25.6464723050594,15.0256902323319,14.8805293486669,16.1504573822021
612,1261,-77.4249984715133,3.27499930374324,131.051554122796,26.1702300722782,25.3433906367192,15.0256902323319,14.8898465564618,16.776762008667
613,1262,-77.3749984707683,3.27499930374324,124.334370035965,26.1702300722782,25.0403090738333,15.0256902323319,14.899163751648,46.6648941040039
614,1263,-77.3249984700232,3.27499930374324,117.11071802733,26.1702300722782,24.7372274009081,15.0256902323319,14.9084809388106,68.4806976318359
615,1264,-77.2749984692782,3.27499930374324,109.649976066099,26.1702300722782,24.4341458128049,15.0256902323319,14.917798148898,78.2776718139648
616,1265,-77.2249984685331,3.27499930374324,110.769782721137,26.1702300722782,24.1310641444646,15.0256902323319,14.927115333768,80.242057800293
617,1266,-77.1749984677881,3.27499930374324,102.269295051694,22.6558877069216,23.8279825311441,15.0256902323319,14.9364325507329,100.638824462891
618,1267,-77.124998467043,3.27499930374324,95.0728380416448,22.6558877069216,23.5249009407484,15.0256902323319,14.945749731018,160.329238891602
619,1268,-77.074998466298,3.27499930374324,83.5173382022633,22.6558877069216,23.221819290748,15.0256902323319,14.9550669468366,376.554351806641
