"celda","x","y","dentro_valle","precipitacion","temperatura","radiacion","altitud","disponible_precipitacion","disponible_temperatura","disponible_radiacion","disponible_altitud","caso_completo_4_variables","anio","semana"
254,-75.9749984499067,4.67499932460487,TRUE,7.49484586715698,NA,NA,904.67041015625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
255,-75.9249984491616,4.67499932460487,TRUE,6.00221872329712,NA,NA,977.351684570312,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
256,-75.8749984484166,4.67499932460487,TRUE,6.29791498184204,NA,NA,1164.96606445312,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
257,-75.8249984476715,4.67499932460487,TRUE,5.67067575454712,NA,NA,1126.17407226562,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
258,-75.7749984469265,4.67499932460487,TRUE,0,NA,NA,1251.02160644531,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
259,-75.7249984461814,4.67499932460487,TRUE,0,NA,NA,1431.65832519531,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
285,-76.2749984543771,4.62499932385981,TRUE,9.18993473052979,23.1707134246826,NA,1601.16870117188,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
286,-76.224998453632,4.62499932385981,TRUE,7.03982067108154,23.1707134246826,NA,1379.88671875,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
287,-76.1749984528869,4.62499932385981,TRUE,5.44929885864258,NA,NA,1565.08154296875,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
288,-76.1249984521419,4.62499932385981,TRUE,5.7734751701355,NA,NA,1515.43493652344,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
289,-76.0749984513968,4.62499932385981,TRUE,0,NA,NA,1063.71643066406,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
290,-76.0249984506518,4.62499932385981,TRUE,6.5970458984375,NA,NA,910.329467773438,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
291,-75.9749984499067,4.62499932385981,TRUE,6.78880643844604,NA,NA,915.839233398438,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
292,-75.9249984491616,4.62499932385981,TRUE,5.87667655944824,NA,NA,1092.27197265625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
293,-75.8749984484166,4.62499932385981,TRUE,5.52847766876221,NA,NA,1273.04272460938,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
321,-76.3249984551221,4.57499932311475,TRUE,8.20250129699707,NA,NA,1590.77282714844,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
