"dx","dy","ME","MAE","RMSE"
-0.1,-0.1,0.34131017768931,0.577465171715869,0.682027716029571
-0.0875,-0.1,0.260687056173277,0.499741041710123,0.602786963123816
-0.075,-0.1,0.180063902469587,0.434494756724972,0.53011969258133
-0.0625,-0.1,0.0994407355842848,0.396833435740359,0.467103972062896
-0.05,-0.1,0.0188176013464638,0.366785315369839,0.418126589621645
-0.0375,-0.1,-0.0532401575991595,0.333016813242025,0.381310280353192
-0.025,-0.1,-0.125296877803085,0.316340841307436,0.363940096087249
-0.0125,-0.1,-0.206704132658843,0.341751349389994,0.380249669614329
0,-0.1,-0.288112542285141,0.372402506294606,0.417447494502232
0.0125,-0.1,-0.360918552995839,0.396801300502521,0.464484082563046
0.025,-0.1,-0.433723525118115,0.43583614578664,0.521261465086186
0.0375,-0.1,-0.515970677970805,0.515972153085177,0.592465341076612
0.05,-0.1,-0.598218994024136,0.598218994024136,0.667563030044349
0.0625,-0.1,-0.672601373507562,0.672601373507562,0.74179313671168
0.075,-0.1,-0.746982768201935,0.746982768201935,0.816943390787973
0.0875,-0.1,-0.821364164582329,0.821364164582329,0.892781737972269
0.1,-0.1,-0.895745568933,0.895745568933,0.969146667678461
-0.1,-0.0875,0.373606265836573,0.589579578229217,0.696036909380019
-0.0875,-0.0875,0.293534271818999,0.508469816114082,0.613924920744867
-0.075,-0.0875,0.213462260941224,0.434418999547171,0.537432407153203
-0.0625,-0.0875,0.133390238874405,0.391009693550397,0.469315180974611
-0.05,-0.0875,0.0533182379594764,0.358303695122018,0.413730907000268
-0.0375,-0.0875,-0.0181734038487541,0.321494378372237,0.369465741104915
-0.025,-0.0875,-0.0896639848437504,0.296034351110995,0.343973068203846
-0.0125,-0.0875,-0.17099276910216,0.317209325009931,0.352849894941579
0,-0.0875,-0.25232274277116,0.346891810755299,0.385095706305281
0.0125,-0.0875,-0.325046833900346,0.370787424966094,0.429516472457515
0.025,-0.0875,-0.397769852720706,0.403480385860344,0.484994176897239
0.0375,-0.0875,-0.480421000376119,0.480431803780252,0.555520185477637
0.05,-0.0875,-0.563073381278646,0.563073381278646,0.630435242731599
0.0625,-0.0875,-0.637860944668835,0.637860944668835,0.704909085539841
0.075,-0.0875,-0.712647546874254,0.712647546874254,0.780383508168226
0.0875,-0.0875,-0.787434153677911,0.787434153677911,0.85659432177673
0.1,-0.0875,-0.862220751591642,0.862220751591642,0.933361147370691
-0.1,-0.075,0.405902379733962,0.603354769786122,0.711521558223147
-0.0875,-0.075,0.3263814948219,0.519341994849327,0.626946799607608
-0.075,-0.075,0.246860650374322,0.439146598256772,0.54714846476718
-0.0625,-0.075,0.167339765462259,0.386313215860865,0.474542284078634
-0.05,-0.075,0.0878189049208521,0.351036967360602,0.412939577841512
-0.0375,-0.075,0.0168933915923317,0.311437411999557,0.361608089474675
-0.025,-0.075,-0.0540310541788737,0.279726809836093,0.327846985576639
-0.0125,-0.075,-0.135281345768398,0.292744062062591,0.328248652003325
0,-0.075,-0.216532914594836,0.321606828713486,0.354542191194654
0.0125,-0.075,-0.289175050582812,0.344835742268674,0.39575902563379
0.025,-0.075,-0.361816136946597,0.374408868914132,0.449631039784929
0.0375,-0.075,-0.444871267142766,0.444905924360226,0.519179534141451
0.05,-0.075,-0.52792770584386,0.52792770584386,0.593742137276491
0.0625,-0.075,-0.603120465249503,0.603120465249503,0.668374742038763
0.075,-0.075,-0.678312269754634,0.678312269754634,0.744113670681917
0.0875,-0.075,-0.753504087594651,0.753504087594651,0.820652892876805
0.1,-0.075,-0.828695887654819,0.828695887654819,0.897787722730614
-0.1,-0.0625,0.438630401724138,0.620286898611443,0.729367607495569
-0.0875,-0.0625,0.35971799352015,0.533874200264843,0.642733336340934
-0.075,-0.0625,0.28080556140533,0.449955388151615,0.560114012455956
-0.0625,-0.0625,0.201893165463307,0.383588455528816,0.483571927834405
-0.05,-0.0625,0.122980729210074,0.345742811309069,0.416471435721834
-0.0375,-0.0625,0.0526671895487291,0.303481130805363,0.358409124511986
-0.025,-0.0625,-0.017645309378349,0.267861453485198,0.316101194504615
-0.0125,-0.0625,-0.0987820637567141,0.268001367408951,0.306802508286501
0,-0.0625,-0.179920186263808,0.296078456785471,0.325703771363032
0.0125,-0.0625,-0.252456827663371,0.318341488012046,0.362760895757134
0.025,-0.0625,-0.324992423423882,0.346672113744134,0.414460949098508
0.0375,-0.0625,-0.408438792300738,0.408565172080785,0.482735833584836
0.05,-0.0625,-0.491886537583148,0.491886537583148,0.556798017437894
0.0625,-0.0625,-0.567483213161664,0.567483213161664,0.631548040584608
0.075,-0.0625,-0.643078956371027,0.643078956371027,0.70752718673457
0.0875,-0.0625,-0.718674677508853,0.718674677508853,0.784378495815327
0.1,-0.0625,-0.794270410908644,0.794270410908644,0.861868724853647
-0.1,-0.05,0.471358417276783,0.638867843882979,0.748478336225594
-0.0875,-0.05,0.393054477504042,0.550454435835924,0.660151431580214
-0.075,-0.05,0.314750500332309,0.463738105182899,0.575206651265429
-0.0625,-0.05,0.236446512431357,0.38417825726442,0.495386921183319
-0.05,-0.05,0.158142548134686,0.341845369538246,0.423599409681148
-0.0375,-0.05,0.0884409769291818,0.29706066270152,0.359668578614733
-0.025,-0.05,0.0187404435457274,0.258252463437322,0.309387032296449
-0.0125,-0.05,-0.0622828094877257,0.245637926324239,0.289663082673799
0,-0.05,-0.14330746268429,0.270635727784596,0.29983109415931
0.0125,-0.05,-0.215738596773653,0.291881290749697,0.331718106478984
0.025,-0.05,-0.288168701164518,0.319245245249009,0.380659104824143
0.0375,-0.05,-0.372006308108961,0.37271977605179,0.447156521795605
0.05,-0.05,-0.455845330543972,0.455845330543972,0.520445146747918
0.0625,-0.05,-0.531845956322312,0.531845956322312,0.5951813726711
0.075,-0.05,-0.607845607734271,0.607845607734271,0.671312387539661
0.0875,-0.05,-0.683845257306934,0.683845257306934,0.74841282895907
0.1,-0.05,-0.759844909025442,0.759844909025442,0.826211352945681
-0.1,-0.0375,0.504086460418848,0.658851801946745,0.768759453438721
-0.0875,-0.0375,0.426390950145617,0.569040876307008,0.679075549307893
-0.075,-0.0375,0.348695423625283,0.480123759925423,0.592263813261705
-0.0625,-0.0375,0.270999893579633,0.39313176574143,0.509793664636483
-0.05,-0.0375,0.193304377481969,0.339545544685945,0.434146404442266
-0.0375,-0.0375,0.124214756952456,0.292456840250278,0.365340410410104
-0.025,-0.0375,0.055126199228746,0.250692528338725,0.308033745130432
-0.0125,-0.0375,-0.0257835483213821,0.23096809736673,0.277629166987987
0,-0.0375,-0.106694734813086,0.245571132642745,0.277754210139377
0.0125,-0.0375,-0.179020390254591,0.265628631993989,0.303231772084621
0.025,-0.0375,-0.251344985036136,0.291819285365478,0.348623743449006
0.0375,-0.0375,-0.335573832960383,0.34164857465866,0.4126652747781
0.05,-0.0375,-0.419804167954418,0.419804167954418,0.484816661923071
0.0625,-0.0375,-0.496208702241903,0.496208702241903,0.559364479380767
0.075,-0.0375,-0.572612277490462,0.572612277490462,0.635532869330697
0.0875,-0.0375,-0.649015856724159,0.649015856724159,0.712802647301773
0.1,-0.0375,-0.725419432279267,0.725419432279267,0.790851034677141
-0.1,-0.025,0.536814519808017,0.680040642441909,0.790120903006697
-0.0875,-0.025,0.459727428611625,0.589454424645655,0.699383502060127
-0.075,-0.025,0.38264038232468,0.499110190441508,0.611121054709331
-0.0625,-0.025,0.305553293733955,0.409396794477639,0.526579520201519
-0.05,-0.025,0.228466228134415,0.341659291615941,0.447870995606539
-0.0375,-0.025,0.159988575141095,0.289630558666253,0.375224563575883
-0.025,-0.025,0.0915119932304046,0.245420162411834,0.312111097092071
-0.0125,-0.025,0.0107157648050375,0.223342555238288,0.271380815213758
0,-0.025,-0.0700819844105205,0.22394470247338,0.260440179672399
0.0125,-0.025,-0.14230212533792,0.239809196273524,0.278088625082366
0.025,-0.025,-0.214521221699189,0.264393284404366,0.318887647038618
0.0375,-0.025,-0.299141309683593,0.314400751695722,0.37955879436918
0.05,-0.025,-0.383762951565494,0.383762951565494,0.450084516775545
0.0625,-0.025,-0.460571396814516,0.460571396814516,0.524210031080225
0.075,-0.025,-0.537378895746401,0.537378895746401,0.600266445719769
0.0875,-0.025,-0.614186407093525,0.614186407093525,0.677603967024371
0.1,-0.025,-0.690993907404881,0.690993907404881,0.755829423864759
-0.1,-0.0125,0.569974487903071,0.702938420103509,0.813549315653985
-0.0875,-0.0125,0.493553185531925,0.612099372547411,0.722082744938957
-0.075,-0.0125,0.417131862621988,0.521316426239455,0.632772608764638
-0.0625,-0.0125,0.3407105749652,0.430631152305983,0.546676845039675
-0.05,-0.0125,0.264289246690653,0.350237811581186,0.465582079225443
-0.0375,-0.0125,0.196469396611419,0.29079556886654,0.389966738506155
-0.025,-0.0125,0.128650591711414,0.242247023255984,0.322120533891368
-0.0125,-0.0125,0.0480029392150467,0.219477094970919,0.271881718396273
0,-0.0125,-0.0326463323205048,0.207377822021318,0.249147589172563
0.0125,-0.0125,-0.104737419286597,0.216202148706037,0.257179819287288
0.025,-0.0125,-0.176827471189582,0.23642339832106,0.291733943113185
0.0375,-0.0125,-0.261826042499009,0.2867867207075,0.347829310948008
0.05,-0.0125,-0.346826231774698,0.346826231774698,0.416080823208665
0.0625,-0.0125,-0.424037314733483,0.424037314733483,0.489493581275349
0.075,-0.0125,-0.50124748095712,0.50124748095712,0.565257034861476
0.0875,-0.0125,-0.578457614073451,0.578457614073451,0.642540171800206
0.1,-0.0125,-0.655667763283612,0.655667763283612,0.720854421938285
-0.1,0,0.603134455385027,0.726468827478451,0.837855095968486
-0.0875,0,0.527378930803358,0.635596761209947,0.745897313270505
-0.075,0,0.451623368975971,0.544724680073811,0.65586566019727
-0.0625,0,0.375867797185738,0.453852589281377,0.568675735746904
-0.05,0,0.300112244708099,0.362980528224208,0.485859862993628
-0.0375,0,0.232950208731994,0.301502545981191,0.408193555537494
-0.025,0,0.165789206132978,0.240028156800425,0.33695249023144
-0.0125,0,0.085290088794577,0.217254551918474,0.278663794458174
0,0,0.00478931624419587,0.194485748668684,0.244582697252057
0.0125,0,-0.0671727086370377,0.201469558720725,0.241847238907352
0.025,0,-0.139133713169521,0.208457009809954,0.26853765484511
0.0375,0,-0.224510767344147,0.259172665808447,0.318442277931471
0.05,0,-0.309889483628109,0.309893740982306,0.38351939901141
0.0625,0,-0.387503236637588,0.387503236637588,0.455788466781644
0.075,0,-0.465116029841767,0.465116029841767,0.530997633851909
0.0875,0,-0.542728815228944,0.542728815228944,0.608056905331233
0.1,0,-0.620341604754535,0.620341604754535,0.686343411578403
-0.1,0.0125,0.636294446164716,0.750699246515993,0.862964121994688
-0.0875,0.0125,0.561204661973532,0.659990088727382,0.770723833473279
-0.075,0.0125,0.486114856323909,0.569337930069289,0.68025342513553
-0.0625,0.0125,0.411025054352876,0.478771760892117,0.592364400856559
-0.05,0.0125,0.335935269395319,0.388429575049199,0.50839733941088
-0.0375,0.0125,0.269431018400177,0.318331001886253,0.429461604049377
-0.025,0.0125,0.202927828831368,0.261759804284523,0.35600474225806
-0.0125,0.0125,0.122577245118188,0.217139969374811,0.291288670179636
0,0.0125,0.0422249712464281,0.19453616726249,0.247118645869545
0.0125,0.0125,-0.029608015460778,0.192572492067931,0.233193356593296
0.025,0.0125,-0.101439952697067,0.20489576597836,0.250401028585722
0.0375,0.0125,-0.187195490196716,0.233061773759381,0.292105570685447
0.05,0.0125,-0.272952768588825,0.28366636425228,0.352799911967444
0.0625,0.0125,-0.350969148272297,0.352024563789674,0.423336314818616
0.075,0.0125,-0.428984586849967,0.430040002367344,0.497643218917137
0.0875,0.0125,-0.507000026194009,0.508055441711387,0.574258767414368
0.1,0.0125,-0.585015461246364,0.586070876763741,0.652370056557884
-0.1,0.025,0.669454443995035,0.775541458816553,0.888808365677573
-0.0875,0.025,0.595030390078214,0.68519721097097,0.796467711522124
-0.075,0.025,0.520606377545525,0.595069022931228,0.705801735186856
-0.0625,0.025,0.44618232684747,0.505317204407042,0.617548454785866
-0.05,0.025,0.371758296534932,0.41634296290325,0.532907891445005
-0.0375,0.025,0.305911853511937,0.339386567545259,0.453343050043895
-0.025,0.025,0.24006647850608,0.2843609001812,0.378640781306031
-0.0125,0.025,0.159864445891422,0.227374258626891,0.309041137816225
0,0.025,0.07966064034992,0.197364299177012,0.256544924250938
0.0125,0.025,0.00795672124545699,0.187308428870716,0.231966903600579
0.025,0.025,-0.0637461534461497,0.201335725198793,0.238481202391961
0.0375,0.025,-0.149880183160746,0.216014015218599,0.269714211825706
0.05,0.025,-0.236016016916921,0.258221386253776,0.324445890376368
0.0625,0.025,-0.314435029558643,0.317454209782923,0.392448063552449
0.075,0.025,-0.392853113203254,0.394963938720124,0.46538840418405
0.0875,0.025,-0.471271199760081,0.473382025276952,0.541274090744193
0.1,0.025,-0.549689282178496,0.551800107695366,0.619022858586461
-0.1,0.0375,0.702962927479562,0.801905651944736,0.916172336557435
-0.0875,0.0375,0.629255394428269,0.712240809836368,0.823921367384018
-0.075,0.0375,0.555547830262241,0.622977013528175,0.733279040321518
-0.0625,0.0375,0.481840316676818,0.534397555332558,0.644924047531002
-0.05,0.0375,0.408132750671495,0.446958474276036,0.559940154452247
-0.0375,0.0375,0.342983369695454,0.370306219482912,0.480143945450502
-0.025,0.0375,0.277835033898643,0.308394856638404,0.404752283501651
-0.0125,0.0375,0.197810027117286,0.24743430126292,0.331517443973958
0,0.0375,0.117783149466642,0.207573994606187,0.272393439054341
0.0125,0.0375,0.0462252732757892,0.19192091823199,0.23825951449623
0.025,0.0375,-0.0253315857850789,0.197476778793703,0.233357844278471
0.0375,0.0375,-0.11183791940751,0.206761252109892,0.251975284794709
0.05,0.0375,-0.198346125125425,0.238111189116009,0.298826571957149
0.0625,0.0375,-0.277165318025879,0.290951589187676,0.363254777256057
0.075,0.0375,-0.355983608752269,0.359221020069815,0.434232629537036
0.0875,0.0375,-0.434801868363923,0.437968108171974,0.509027397292467
0.1,0.0375,-0.513620145755426,0.516786385563477,0.586179864393644
